,#,Xc1.A,Xc1.R,Xc1.N,Xc1.D,Xc1.C,Xc1.Q,Xc1.E,Xc1.G,Xc1.H,Xc1.I,Xc1.L,Xc1.K,Xc1.M,Xc1.F,Xc1.P,Xc1.S,Xc1.T,Xc1.W,Xc1.Y,Xc1.V,Xc2.lambda1,Xc2.lambda2
10,AOG74783@H,64.10767439356951,32.48122169274188,76.9292092722834,39.31937362805596,33.335990684656146,39.31937362805596,32.48122169274188,64.10767439356951,12.821534878713901,64.10767439356951,85.47689919142601,34.1907596765704,11.96676588679964,51.286139514855606,32.48122169274188,92.31505112674009,78.63874725611193,9.402458911056861,45.30275657145579,100.86274104588269,0.07242831426775742,0.07280269381798242
11,ARK08679@H,70.1724546595161,31.66318076100117,98.41258885176039,57.33603002667779,47.06689032040714,44.49960539383948,37.65351225632571,73.59550122827298,14.547947917216753,64.18212316419155,107.82596691584182,49.634175246974806,17.970994485973637,62.470599879813115,49.634175246974806,93.27801899862506,79.58583272359753,11.98066299064909,66.74940809075922,83.86464093454363,0.07207404237589769,0.07216431543488158
12,ARU07610@H,71.02683946873945,31.662566992088667,98.41068119162695,57.3349186072957,47.06597796121289,44.49874279969218,37.65278236897031,73.59407463026015,14.547665915283982,64.18087903801757,107.82387678386952,49.633213122733586,17.97064613064492,62.469388930337104,49.633213122733586,92.4204658147453,79.58429000714179,11.98043075376328,66.74811419953828,83.86301527634296,0.07206809240955284,0.07218685375021283
13,ARK08670@H,71.822079292721,31.63591587893663,94.90774763680989,57.28665848347985,46.17133668817778,44.461287181208235,35.9110396463605,78.66227732059919,12.825371302271607,65.83690601832758,108.58814369256628,51.30148520908643,18.810544576665023,60.70675749741894,47.881386195147336,94.90774763680989,81.22735158105351,11.970346548786834,65.83690601832758,83.79242584150784,0.07224804639153495,0.0727272001236913
14,ARK08627@H,65.20688224126853,36.03538229122735,98.66830865455107,48.04717638830313,38.60933816917216,49.763146973599675,25.739558779448107,71.21277928980642,17.159705852965406,67.78083811921334,113.25405862957166,36.03538229122735,10.295823511779242,65.20688224126853,40.3253087544687,109.82211745897858,90.94644102071663,11.153808804427513,60.058970485378914,108.10614687368205,0.07205563469554517,0.06995907265618467
15,ARK08635@H,71.01949242073415,30.80363526682445,98.40050154680033,57.32898785770106,47.061109435426246,44.49413982985754,37.648887548340994,73.58646202630285,14.546161098222658,64.1742401392176,110.37969303945428,49.62807904099495,17.96878723898093,63.318583604028035,47.91676597061581,92.41090580047336,80.4317143078194,11.979191492653953,65.88555320959674,82.9986839133881,0.07214635740746984,0.07219710740296215
16,ARK08642@H,62.4445233491763,29.939155030426996,76.13099422022864,39.34860375427548,33.36077274819008,40.20400818371625,32.505368318749305,64.15533220805784,14.541875300493112,65.01073663749861,86.3958473735179,36.78239046595316,12.831066441611569,50.46886133700551,32.505368318749305,93.23908280904406,77.84180307911018,9.409448723848485,44.481030330920106,100.08231824457023,0.07223268168244253,0.07236288887678613
17,ARK08651@H,71.02520236882664,31.661837200561273,99.26413825040832,57.33359709290825,47.06489313596946,44.497717146734765,37.65191450877557,73.59237835806134,14.547330605663287,64.17939973086744,107.82139154785732,49.63206912520416,17.970231924642885,62.467949071377646,49.63206912520416,91.56261028270423,79.58245566627564,11.98015461642859,66.74657572010214,83.86108231500013,0.07206929238316823,0.07220537787193254
18,ARK08661@H,71.02874216635477,31.663415182591887,97.55754948149934,57.33645451982856,47.067238784933885,44.49993485121022,37.65379102794711,73.59604610007844,14.548055624434111,64.18259834309167,107.826765216394,49.634542718657556,17.971127536065666,62.471062387275886,49.634542718657556,93.27870959195988,79.58642194543367,11.980751690710445,66.74990227681533,83.86526183497311,0.07201774758389444,0.0722142745082166
19,ARU07587@H,71.02683946873945,31.662566992088667,98.41068119162695,57.3349186072957,47.06597796121289,44.49874279969218,37.65278236897031,73.59407463026015,14.547665915283982,64.18087903801757,107.82387678386952,49.633213122733586,17.97064613064492,62.469388930337104,49.633213122733586,92.4204658147453,79.58429000714179,11.98043075376328,66.74811419953828,83.86301527634296,0.07206809240955284,0.07218685375021283
20,ARU07601@H,62.446826063105334,29.940259071351875,76.13380163858048,39.35005477949103,33.36200296522066,40.20549075295823,32.50656699175346,64.15769801003972,14.542411548942338,65.01313398350692,85.54359734671964,36.78374685908945,12.831539602007945,50.470722434564586,32.50656699175346,94.0979570813916,77.84467358551487,9.40979570813916,44.482670620294215,100.08600889566198,0.07216037828165008,0.07240364825115345
21,ARU07568@H,71.02683946873945,31.662566992088667,98.41068119162695,57.3349186072957,47.06597796121289,44.49874279969218,37.65278236897031,73.59407463026015,14.547665915283982,64.18087903801757,107.82387678386952,49.633213122733586,17.97064613064492,62.469388930337104,49.633213122733586,92.4204658147453,79.58429000714179,11.98043075376328,66.74811419953828,83.86301527634296,0.07206809240955284,0.07218685375021283
22,ARU07594@H,66.14557595212688,33.5023047030253,95.35271338553356,48.10587341972864,38.656505426567655,48.10587341972864,24.05293670986432,69.58170976782178,21.475836348093143,69.58170976782178,112.53338246400807,38.656505426567655,10.308401447084709,63.5684755903557,41.233605788338835,115.96951627970297,88.48044575414374,11.167434901008434,58.41427486681335,106.520148286542,0.07127291084155099,0.06969363523472323
23,APT69890@H,64.08519658088474,31.615363646569808,77.75670518480682,37.59664866078572,33.32430222206007,39.305587236275976,33.32430222206007,64.08519658088474,13.671508603922078,64.93966586862987,85.44692877451298,34.178771509805195,11.962570028431818,50.41368797696266,32.46983293431494,91.4282137887289,77.75670518480682,9.39916216519643,46.99581082598215,100.82737595392533,0.07253822502729207,0.072992487227578
24,APT69883@H,62.42336805803927,29.92901208262157,76.10520215295199,39.33527302287406,33.34947060634975,40.190387653806106,32.494355975417704,64.13359731990336,14.536948725844763,64.98871195083541,85.51146309320448,37.62504376100997,12.826719463980673,50.45176322499064,32.494355975417704,94.06260940252493,76.96031678388404,9.406260940252492,44.46596080846633,100.04841181904925,0.07227663936315058,0.07260872970480452
25,APT69869@H,63.341110009187226,29.958633112453416,77.03648514630878,37.6622816270843,33.382476896733806,40.230164465294585,32.52651595066371,65.05303190132742,14.551336083191659,64.19707095525732,86.45205555307986,36.8063206810142,11.983453244981366,49.64573487206566,32.52651595066371,94.15570406771073,78.74840703844897,9.415570406771074,44.50996919564508,100.14743069020142,0.07184212225140768,0.07219693167849472
26,APT69849@H,62.45684659442594,29.945063435683668,76.14601845073847,39.35636908689854,33.3673563997618,40.21194232791807,32.51178315874227,64.16799307646501,14.544745097332068,65.02356631748454,85.55732410195334,35.9340761228204,13.689171856312534,50.47882122015247,32.51178315874227,94.11305651214867,77.85716493277754,9.411305651214867,44.48980853301573,100.10206919928541,0.07220161853628966,0.07222514044417694
27,APT69876@H,64.94410266408727,31.61752366541091,76.90748999694546,37.59921733184,33.32657899867636,39.308272665105456,33.32657899867636,64.08957499745455,13.672442666123636,64.94410266408727,85.45276666327273,34.181106665309095,11.963387332858183,50.41713233133091,32.472051332043634,91.43446032970182,78.61654533021091,9.39980433296,46.9990216648,99.97973699602909,0.07242627084928475,0.07304606251798801
28,APT69862@H,63.341110009187226,29.958633112453416,77.03648514630878,37.6622816270843,33.382476896733806,40.230164465294585,32.52651595066371,65.05303190132742,14.551336083191659,64.19707095525732,86.45205555307986,36.8063206810142,11.983453244981366,49.64573487206566,32.52651595066371,94.15570406771073,78.74840703844897,9.415570406771074,44.50996919564508,100.14743069020142,0.07184212225140768,0.07219693167849472
29,APU51916@H,71.02683946873945,31.662566992088667,98.41068119162695,57.3349186072957,47.06597796121289,44.49874279969218,37.65278236897031,73.59407463026015,14.547665915283982,64.18087903801757,107.82387678386952,49.633213122733586,17.97064613064492,62.469388930337104,49.633213122733586,92.4204658147453,79.58429000714179,11.98043075376328,66.74811419953828,83.86301527634296,0.07206809240955284,0.07218685375021283
30,APU51926@H,71.02683946873945,31.662566992088667,98.41068119162695,57.3349186072957,47.06597796121289,44.49874279969218,37.65278236897031,73.59407463026015,14.547665915283982,64.18087903801757,107.82387678386952,49.633213122733586,17.97064613064492,62.469388930337104,49.633213122733586,92.4204658147453,79.58429000714179,11.98043075376328,66.74811419953828,83.86301527634296,0.07206809240955284,0.07218685375021283
31,APU51936@H,71.0115717292412,31.655760891348482,98.38952709473178,57.3225940464959,47.05586078443694,44.48917746892219,37.64468862754955,73.57825504475593,14.54453878791687,64.16708288786855,107.80069925161916,49.622544099951675,17.966783208603193,63.311521782696964,49.622544099951675,91.54503825335912,79.567182780957,11.977855472402128,66.73376620338328,83.8449883068149,0.07208867292997316,0.07235022189844616
32,ARB07433@H,71.00869358661704,31.65447786391362,97.53001287800413,57.32027072654628,47.05395358149322,44.48737429522995,37.643162865194576,73.5752728728803,15.399475717579598,65.02000858533609,106.94080359430276,50.476059296510904,17.966055003842865,63.30895572782724,49.62053286775648,91.54132787672317,80.41948430291568,11.97737000256191,65.8755350140905,82.98606358917894,0.07205582733065366,0.07241774391492423
33,ARB07425@H,63.20138651150119,34.16291162783848,77.72062395333255,39.28734837201425,33.30883883714252,38.43327558131829,32.45476604644656,64.90953209289312,11.957019069743469,62.34731372080523,87.11542465098813,33.30883883714252,12.811091860439431,50.39029465106176,31.600693255750596,93.09393418585987,77.72062395333255,9.394800697655583,45.26585790688599,100.78058930212352,0.073076922360989,0.07285028694304892
34,ARE29973@H,65.20688224126853,36.03538229122735,98.66830865455107,48.04717638830313,38.60933816917216,49.763146973599675,25.739558779448107,71.21277928980642,17.159705852965406,67.78083811921334,113.25405862957166,36.03538229122735,10.295823511779242,65.20688224126853,40.3253087544687,109.82211745897858,90.94644102071663,11.153808804427513,60.058970485378914,108.10614687368205,0.07205563469554517,0.06995907265618467
35,ARB07608@H,51.46059254650546,30.876355527903275,98.63280238080213,57.464328343597764,48.02988637673843,33.44938515522855,33.44938515522855,62.61038759824831,23.157266645927457,68.61412339534061,114.07098014475378,51.46059254650546,11.14979505174285,77.19088881975819,43.74150366452964,132.93986407847243,73.76018264999117,12.865148136626365,62.61038759824831,75.47553573487467,0.06997101433560002,0.07235244322264221
36,ARA15421@H,71.02337316257724,31.661021771269372,98.40587847826967,57.33212050473102,47.06368101134636,44.4965711380002,37.65094480907709,73.5904830359234,14.546955948961603,64.17774683365413,108.67431797165433,49.63079088469253,17.96976911342316,62.466340251423354,48.77508759357714,92.41595544046196,79.58040607373113,11.979846075615438,66.7448567070003,83.85892252930806,0.07214984485639876,0.0721468640282129
37,ARB07599@H,51.46059254650546,30.876355527903275,98.63280238080213,57.464328343597764,48.02988637673843,33.44938515522855,33.44938515522855,62.61038759824831,23.157266645927457,68.61412339534061,114.07098014475378,51.46059254650546,11.14979505174285,77.19088881975819,43.74150366452964,132.93986407847243,73.76018264999117,12.865148136626365,62.61038759824831,75.47553573487467,0.06997101433560002,0.07235244322264221
38,ARB07438@H,53.22000412417105,31.760325041844016,104.72323392175593,54.078391287464136,48.06968114441256,34.33548653172326,34.33548653172326,63.52065008368803,18.026130429154712,77.25484469637733,110.73194406480751,46.3529068178264,12.01742028610314,78.11323185967042,46.3529068178264,132.19162314713455,66.95419873686035,13.734194612689304,58.37032710392954,76.39645753308425,0.069371837790124,0.07224099891679456
39,ARB07617@H,51.46059254650546,30.876355527903275,98.63280238080213,57.464328343597764,48.02988637673843,33.44938515522855,33.44938515522855,62.61038759824831,23.157266645927457,68.61412339534061,114.07098014475378,51.46059254650546,11.14979505174285,77.19088881975819,43.74150366452964,132.93986407847243,73.76018264999117,12.865148136626365,62.61038759824831,75.47553573487467,0.06997101433560002,0.07235244322264221
40,ARB07414@H,70.9941225226035,30.792631455587063,97.50999960935903,57.30850854234259,47.044298057146904,44.47824543584798,37.63543844571752,73.56017514390243,14.540964854027225,65.00666640623935,108.62956096832103,50.46570155221213,17.962368349092454,63.29596465870674,49.610350678445826,89.81184174546226,81.2583330077992,11.974912232728302,66.71736815377197,82.9690347553318,0.07239152925452819,0.07225759697916444
41,ARB07406@H,66.12861010571022,34.352524730239075,97.90469548118136,49.811160858846655,38.64659032151896,49.811160858846655,24.905580429423328,68.70504946047815,18.89388860163149,67.84623634222217,113.36333160978894,36.928964085007,10.305757419071723,65.26979698745424,40.36421655803091,110.78689225502102,90.17537741687757,11.164570537327698,60.11691827791838,109.06926601850905,0.07150749519873216,0.06967938654529104
42,ARK08620@H,62.53623115908614,29.126463827519572,76.24280237203652,39.40639223723236,33.40976733156657,40.26305293804176,32.55310663075717,64.24955256070494,15.419892614569186,64.24955256070494,85.66607008093992,36.83641013480417,12.849910512140989,50.542981347754555,32.55310663075717,95.08933778984331,78.81278447446472,9.423267708903392,43.68969574127936,100.22930199469971,0.07149934143682642,0.07183995775377448
43,ARE29961@H,66.13120997812725,34.353875313312855,97.90854464294164,48.95427232147082,38.648109727476964,49.81311920430364,24.90655960215182,69.56659750945853,18.89463142232207,67.84890374379289,113.36778853393241,36.93041596181132,10.306162593993855,65.27236309529442,40.3658034931426,110.79124788543395,90.17892269744624,11.165009476826677,60.11928179829749,109.07355411976832,0.07152591080072891,0.06962720636644966
44,ARE29990@H,70.9941225226035,30.792631455587063,97.50999960935903,57.30850854234259,47.044298057146904,44.47824543584798,37.63543844571752,73.56017514390243,14.540964854027225,65.00666640623935,108.62956096832103,50.46570155221213,17.962368349092454,63.29596465870674,49.610350678445826,89.81184174546226,81.2583330077992,11.974912232728302,66.71736815377197,82.9690347553318,0.07239152925452819,0.07225759697916444
45,ARE30017@H,71.00869358661704,31.65447786391362,97.53001287800413,57.32027072654628,47.05395358149322,44.48737429522995,37.643162865194576,73.5752728728803,15.399475717579598,65.02000858533609,106.94080359430276,50.476059296510904,17.966055003842865,63.30895572782724,49.62053286775648,91.54132787672317,80.41948430291568,11.97737000256191,65.8755350140905,82.98606358917894,0.07205582733065366,0.07241774391492423
46,ARE29999@H,70.9941225226035,30.792631455587063,97.50999960935903,57.30850854234259,47.044298057146904,44.47824543584798,37.63543844571752,73.56017514390243,14.540964854027225,65.00666640623935,108.62956096832103,50.46570155221213,17.962368349092454,63.29596465870674,49.610350678445826,89.81184174546226,81.2583330077992,11.974912232728302,66.71736815377197,82.9690347553318,0.07239152925452819,0.07225759697916444
47,ARE30008@H,71.01336797016721,30.800978878626744,97.53643311565135,57.32404402411088,47.05705106456863,44.49030282468307,37.64564085165491,73.58011621005278,15.400489439313372,65.02428874376757,107.8034260751936,50.479382051082716,17.967237679198934,63.31312325051053,49.623799304454195,91.54735388925171,80.42477818308095,11.978158452799288,65.87987149039608,82.9915264229665,0.07235585644334357,0.07206139692813583
48,ARE29985@H,65.20688224126853,36.03538229122735,98.66830865455107,48.04717638830313,38.60933816917216,49.763146973599675,25.739558779448107,71.21277928980642,17.159705852965406,67.78083811921334,113.25405862957166,36.03538229122735,10.295823511779242,65.20688224126853,40.3253087544687,109.82211745897858,90.94644102071663,11.153808804427513,60.058970485378914,108.10614687368205,0.07205563469554517,0.06995907265618467
49,ARE29979@H,66.12602551188228,34.35118208409469,97.90086893966986,49.8092140219373,38.64507984460653,49.8092140219373,24.90460701096865,68.70236416818938,18.89315014625208,68.70236416818938,113.35890087751248,36.927520740401796,10.305354625228407,65.26724595977991,40.36263894881126,110.78256222120538,90.17185297074856,11.164134177330775,60.11456864716571,108.20622356489828,0.07152723286376302,0.0696932150338698
50,ARE29967@H,66.12772789519231,34.35206643906094,97.90338935132368,48.95169467566184,38.64607474394356,49.810496336638366,24.905248168319183,69.5629345390984,18.893636541483517,67.84533121714536,112.50301758792457,36.92847142199051,10.305619931718281,66.12772789519231,40.36367806589661,110.78541426597153,90.17417440253497,11.164421592694806,60.11611626835664,109.06781094401849,0.07152593636361941,0.06967240265985705
51,ARB07420@H,70.9941225226035,30.792631455587063,97.50999960935903,57.30850854234259,47.044298057146904,44.47824543584798,37.63543844571752,73.56017514390243,14.540964854027225,65.00666640623935,108.62956096832103,50.46570155221213,17.962368349092454,63.29596465870674,49.610350678445826,89.81184174546226,81.2583330077992,11.974912232728302,66.71736815377197,82.9690347553318,0.07239152925452819,0.07225759697916444
52,ARB07399@H,66.13120997812725,34.353875313312855,97.90854464294164,48.95427232147082,38.648109727476964,49.81311920430364,24.90655960215182,69.56659750945853,18.89463142232207,67.84890374379289,113.36778853393241,36.93041596181132,10.306162593993855,65.27236309529442,40.3658034931426,110.79124788543395,90.17892269744624,11.165009476826677,60.11928179829749,109.07355411976832,0.07152591080072891,0.06962720636644966
53,ARB07392@H,62.53623115908614,29.126463827519572,76.24280237203652,39.40639223723236,33.40976733156657,40.26305293804176,32.55310663075717,64.24955256070494,15.419892614569186,64.24955256070494,85.66607008093992,36.83641013480417,12.849910512140989,50.542981347754555,32.55310663075717,95.08933778984331,78.81278447446472,9.423267708903392,43.68969574127936,100.22930199469971,0.07149934143682642,0.07183995775377448
54,ARA15429@H,63.201702609886304,31.600851304943152,75.15878148202695,40.14162192790076,33.30900542953467,39.287544865605,33.30900542953467,64.90985673447783,14.519310059027935,64.05577967218207,85.40770622957608,35.017159554126195,11.957078872140652,50.39054667544989,32.454928367238914,93.09439979023793,78.57508973121,9.394847685253369,44.41200723937956,99.92701628860402,0.07294793388233493,0.0729750038219041
55,APT69856@H,62.53623115908614,29.126463827519572,76.24280237203652,39.40639223723236,33.40976733156657,40.26305293804176,32.55310663075717,64.24955256070494,15.419892614569186,64.24955256070494,85.66607008093992,36.83641013480417,12.849910512140989,50.542981347754555,32.55310663075717,95.08933778984331,78.81278447446472,9.423267708903392,43.68969574127936,100.22930199469971,0.07149934143682642,0.07183995775377448
56,AZS52618@H,53.24953052317227,30.919082239261318,103.0636074642044,51.5318037321022,48.09635014996205,33.49567242586643,33.49567242586643,63.555891269592706,19.75385809730584,79.8742957847584,111.65224141955476,50.67294033656716,11.165224141955475,74.72111541154818,48.09635014996205,132.26496291239565,69.56793503833796,13.741814328560586,60.120437687452565,71.28566182940804,0.06929085935355415,0.07184574511140923
57,QEO75985@H,64.96874598578519,31.629521072026996,76.08182095703792,38.46833643895175,33.33922491375819,40.17804028068294,32.484372992892595,64.11389406491959,12.822778812983918,64.96874598578519,85.48519208655945,34.19407683462378,11.967926892118324,49.58141141020448,32.484372992892595,92.32400745348421,78.6463767196347,9.40337112952154,47.0168556476077,100.87252666214016,0.07230227697099431,0.07284580216341108
58,QEG03731@H,66.13721893363079,34.356996848639376,94.48174133375828,47.24087066687914,37.79269653350331,49.817645430527094,23.190972872831576,66.99614385484678,18.896348266751655,63.560444169982844,113.37808960050994,36.93377161228732,10.307099054591813,63.560444169982844,39.51054637593528,109.94238991564599,88.46926688524638,11.166023975807796,57.54796972147095,107.36561515199804,0.07173841509157722,0.06933666369243835
59,QEG03757@H,71.84845981001723,31.647535868698064,98.36396283514263,58.16303889382347,47.04363439941604,44.47761797762971,37.63490751953283,73.55913742454145,14.540759723455867,64.15041054465824,107.77268971502585,50.46498962846448,17.962114952504308,62.43973293013402,48.754312013940265,92.37659118430787,78.6911702681141,11.974743301669537,66.71642696644457,82.96786430442465,0.07208262152163347,0.07257857121625658
60,QEG03785@H,64.96976571969199,31.630017521428996,76.083015119113,38.468940228765,33.339748198262996,40.178670905599,32.484882859845996,64.11490038127499,12.822980076254998,65.82463105810899,85.4865338417,34.194613536679995,11.968114737837999,49.58218962818599,33.339748198262996,91.47059121061899,77.792745795947,9.403518722586998,47.017593612934995,100.87410993320599,0.07230996188957929,0.07282469969342076
61,QEG03794@H,72.69257041665449,31.642648299014308,98.34877174017961,58.154056333323595,47.03636909312938,44.47074896077687,37.629095274503506,73.54777712743866,14.538514083330899,64.99571001959696,107.75604555880548,50.45719593626606,17.95934092646758,62.43008988724445,48.74678251469772,91.50711805390624,78.67901739214369,11.972893950978387,66.7061234411653,82.09984423528037,0.07215258129975813,0.07264070791607144
62,QEG03814@H,71.81800528441289,31.634121375277108,98.3222691393748,58.13838523023901,47.02369393622273,44.45876517606513,37.61895514897818,73.52795779118463,14.534596307559752,64.97819525732595,107.72700792661935,50.4435989497662,17.954501321103223,63.268242750554215,49.588622696380334,90.62748285890198,78.65781531149985,11.96966754740215,66.68814776409769,82.07772032504332,0.0722405990818663,0.07278314753226596
63,QEG03803@H,71.84243993191984,31.644884255726595,96.64518705127311,57.302898517126536,47.039692812566564,44.473891386426565,35.92121996595992,77.8293099262465,12.82900713069997,65.85556993759319,106.90839275583309,50.46076138075322,18.815877125026624,62.434501369406526,47.89495995461323,94.93465276717978,80.39511135238648,11.973739988653307,65.85556993759319,83.81617992057315,0.0719096774483332,0.07282318050500199
64,QEG03748@H,66.12442118024795,34.35034866506387,97.89849369543204,48.09048813108942,38.64414224819686,49.808005564342615,24.904002782171307,68.70069733012774,18.89269176578513,66.12442118024795,115.07366802796398,36.926624814943665,10.305104599519161,66.12442118024795,39.50290096482345,111.63863316145758,90.16966524579266,11.163863316145758,59.25435144723518,109.06235701157779,0.07160623660213986,0.06963504677126335
65,QEG03740@H,71.8596469028289,31.65246351672225,98.37927849792051,57.31662312487543,47.050959281614155,44.48454332079884,37.64076742529132,73.57059087670577,14.543023777953467,65.01587100732138,107.78947035424333,50.472847229367915,17.964911725707225,62.44945504650606,48.761903255491035,92.39097458935143,78.7034227983364,11.976607817138149,66.72681498119826,82.12531074609016,0.07199463594026935,0.07253337712129147
66,QEG03776@H,72.73540854362275,30.805584794946107,95.83959713983232,59.8997482123952,47.06408788116766,44.49695581492215,34.228427549940115,77.86967267611377,12.835660331227544,65.88972303363472,107.81954678231136,50.486930636161674,18.825635152467065,61.611169589892214,48.77550925866467,94.98388645108382,80.43680474235927,11.97994964247904,65.88972303363472,83.00393680860478,0.07172978575694608,0.07255952549455105
67,QEG03767@H,72.65801081060778,32.48240483297759,98.3020146261164,58.126408648486226,47.01400699509915,44.44960661354829,37.61120559607932,73.5128109377914,14.531602162121557,64.96480966595519,107.70481602513624,49.57840737665001,17.95080267085604,62.400409284404326,48.72360724946639,91.46361360864744,78.64161170089312,11.967201780570694,66.67440992032243,82.06081220962761,0.07244291447829482,0.07275695833808421
68,AGT51366@H,66.05940732756032,36.03240399685109,98.66015380090178,48.04320532913478,38.606147139483305,49.75903409088959,25.737431426322203,70.34897923194735,18.016201998425544,69.49106485106995,112.3867838949403,36.03240399685109,10.294972570528882,65.20149294668292,40.32197590123812,109.81304075230807,89.2230956112503,11.152886951406288,60.05400666141848,108.09721199055326,0.0720254063053869,0.0700602128172062
69,AGT51412@H,70.20068960381016,30.819814948014216,96.7399746979335,59.07131198369392,46.229722422021325,43.661404509686804,36.81255674346143,77.04953737003554,12.84158956167259,65.92015974991929,108.72545828882792,49.65414630513401,17.978225386341627,60.78352392525026,48.79804033435584,91.60333887326448,79.61785528237006,11.985483590894418,67.63237169147564,84.7544911070391,0.07196628118645372,0.07192774803537363
70,AGT51660@H,70.21112179658336,30.824394935085373,97.61058396110369,59.080090292246965,46.23659240262806,43.66789282470428,36.818027283574196,77.06098733771344,12.843497889618906,65.92995583337705,108.74161546544006,49.661525173193105,17.980897045466467,60.79255667752949,48.80529198055184,91.61695161261486,79.62968691563722,11.987264696977645,66.7861890260183,84.76708607148478,0.07193373542155268,0.07183307193718681
71,AGT51670@H,70.20068960381016,30.819814948014216,96.7399746979335,59.07131198369392,46.229722422021325,43.661404509686804,36.81255674346143,77.04953737003554,12.84158956167259,65.92015974991929,108.72545828882792,49.65414630513401,17.978225386341627,60.78352392525026,48.79804033435584,91.60333887326448,79.61785528237006,11.985483590894418,67.63237169147564,84.7544911070391,0.07196628118645372,0.07192774803537363
