,#,Xc1.A,Xc1.R,Xc1.N,Xc1.D,Xc1.C,Xc1.Q,Xc1.E,Xc1.G,Xc1.H,Xc1.I,Xc1.L,Xc1.K,Xc1.M,Xc1.F,Xc1.P,Xc1.S,Xc1.T,Xc1.W,Xc1.Y,Xc1.V,Xc2.lambda1,Xc2.lambda2,Xc2.lambda3,Xc2.lambda4,Xc2.lambda5
10,AOG74783@H,53.14691258724956,26.927769044206446,63.77629510469947,32.59677305351306,27.63639454536977,32.59677305351306,26.927769044206446,53.14691258724956,10.629382517449912,53.14691258724956,70.86255011633276,28.3450200465331,9.920757016286585,42.51753006979965,26.927769044206446,76.53155412563937,65.19354610702612,7.7948805127966025,37.557151561656354,83.61780913727264,0.06004493726598921,0.0603553075518946,0.05500559525687863,0.05822351010924542,0.05774514865266473
11,ARK08679@H,57.819696596951886,26.089375293746585,81.0885988859691,47.24292282921679,38.78150381502871,36.66614906148168,31.025203052022963,60.64016960168125,11.987010270099782,52.883868838675504,88.84489964897485,40.89685856857572,14.807483274829142,51.47363233631083,40.89685856857572,76.85788937887507,65.57599735995763,9.871655516552762,54.99922359222253,69.10158861586933,0.059386539674440894,0.05946092157980039,0.05865787260548782,0.059843555498369276,0.05753285945956161
12,ARU07610@H,58.52022576863216,26.08732955951072,81.08224052280359,47.239218391546444,38.778462858732155,36.66327397552858,31.022770286985722,60.63541465183573,11.986070338153574,52.8797220800893,88.83793309455002,40.89365174193573,14.806322182425005,51.46959615795359,40.89365174193573,76.14679979532859,65.57085537931073,9.870881454950002,54.994910963292874,69.09617018465002,0.05937813184518608,0.05947598134151722,0.05866780806518282,0.05988714568942866,0.057527971990827875
13,ARK08670@H,59.141006901367184,26.050205420840307,78.15061626252091,47.17199359990001,38.01921872230747,36.61109951037016,29.570503450683592,64.77348374911644,10.560894089529853,54.212589659586584,89.41556995801943,42.24357635811941,15.489311331310452,49.98823202377464,39.42733793424479,78.15061626252091,66.88566256702241,9.856834483561197,54.212589659586584,68.99784138492838,0.05949176426426721,0.05988631750554529,0.05901373028221823,0.05977751278293237,0.05777106919638002
14,ARK08627@H,54.175782531940015,29.93924824133527,81.97651304175133,39.91899765511369,32.07776597285922,41.344676142796324,21.385177315239478,59.165657238829226,14.25678487682632,56.31430026346396,94.0947801870537,29.93924824133527,8.554070926095791,54.175782531940015,33.50344446054185,91.24342321168844,75.56095984717949,9.266910169937107,49.89874706889212,89.8177447240058,0.05986592613066521,0.05812404114544458,0.0546589595110211,0.05729265632728167,0.057219173044271446
15,ARK08635@H,58.54237279033193,25.391872535565657,81.11292615527918,47.2570961078583,38.79313859600309,36.67714921803928,31.034510876802468,60.65836216829573,11.990606475128226,52.89973444909512,90.9875432524436,40.90912797396689,14.811925645746634,52.19440465644052,39.498468388657685,76.17561760669697,66.30100050953254,9.874617097164421,54.31039403440432,68.41698988749636,0.059471263548196505,0.059513097487780546,0.05865725326879623,0.059777297516160344,0.057251295524464875
16,ARK08642@H,51.84619592353048,24.857765168815984,63.20974571498921,32.67020565044386,27.698652616680665,33.38042751241004,26.988430754714496,53.26663964746282,12.073771653424906,53.97686150942899,71.73240805858326,30.53954006454535,10.653327929492564,41.90308985600409,26.988430754714496,77.41418295431264,64.63018943892156,7.81244048162788,36.931536822240886,83.095957850042,0.05997306994640269,0.06008117786918789,0.05449237256498211,0.057965229180912216,0.05726628847234407
17,ARK08651@H,58.52307771064251,26.08860090715389,81.79128933053651,47.24152056160299,38.780352699823354,36.66506073437844,31.02428215985868,60.63836967608742,11.98665447085449,52.882299136122754,88.84226254868622,40.89564466526826,14.80704375811437,51.47210449249281,40.89564466526826,75.4454134342018,65.5740509287922,9.87136250540958,54.99759110156766,69.09953753786706,0.059383383053088636,0.059495514259598786,0.05863452475831633,0.05983369057263577,0.057555565541390505
18,ARK08661@H,58.52212218930475,26.088174951858743,80.37978228410532,47.24074923714962,38.77971952303327,36.66446209450418,31.023775618426615,60.63737961783384,11.98645876166483,52.881435713227184,88.84081199822167,40.894976951562356,14.806801999703612,51.4712640942078,40.894976951562356,76.85435323655685,65.57298028440171,9.871201333135742,54.996693141756275,69.0984093319502,0.059336985216944804,0.059498908015066916,0.05868570176644014,0.059905090716136034,0.057487504775716285
19,ARU07587@H,58.52022576863216,26.08732955951072,81.08224052280359,47.239218391546444,38.778462858732155,36.66327397552858,31.022770286985722,60.63541465183573,11.986070338153574,52.8797220800893,88.83793309455002,40.89365174193573,14.806322182425005,51.46959615795359,40.89365174193573,76.14679979532859,65.57085537931073,9.870881454950002,54.994910963292874,69.09617018465002,0.05937813184518608,0.05947598134151722,0.05866780806518282,0.05988714568942866,0.057527971990827875
20,ARU07601@H,51.84703753558823,24.85816868144641,63.21077178996373,32.670735981329564,27.699102245040287,33.38096937222804,26.988868854141817,53.26750431738516,12.07396764527397,53.977737708283634,71.02333908984689,30.540035808634162,10.653500863477033,41.90377006300966,26.988868854141817,78.12567299883158,64.63123857176066,7.812567299883157,36.93213632672038,83.09730673512085,0.059911801403168236,0.06011377847766961,0.05450206264964785,0.05791285047380025,0.05732611609724526
21,ARU07568@H,58.52022576863216,26.08732955951072,81.08224052280359,47.239218391546444,38.778462858732155,36.66327397552858,31.022770286985722,60.63541465183573,11.986070338153574,52.8797220800893,88.83793309455002,40.89365174193573,14.806322182425005,51.46959615795359,40.89365174193573,76.14679979532859,65.57085537931073,9.870881454950002,54.994910963292874,69.09617018465002,0.05937813184518608,0.05947598134151722,0.05866780806518282,0.05988714568942866,0.057527971990827875
22,ARU07594@H,55.031562083246286,27.873128847358508,79.33121287325113,40.02295424236093,32.16130251618289,40.02295424236093,20.011477121180466,57.89034452912921,17.867390286768273,57.89034452912921,93.62512510266576,32.16130251618289,8.576347337648771,52.88747524883409,34.305389350595085,96.48390754854869,73.61364798148529,9.291042949119502,48.59930158000971,88.62225582237065,0.05929738401052311,0.057983463882794545,0.05431794514206333,0.05696034691207747,0.05674524858181049
23,APT69890@H,53.18486646951027,26.23786745829173,64.53097131633912,31.201788328779358,27.65613056414534,32.62005143463296,27.65613056414534,53.18486646951027,11.346104846828856,53.893998022437074,70.91315529268036,28.36526211707214,9.92784174097525,41.83876162268141,26.946999011218537,75.87707616316798,64.53097131633912,7.8004470821948395,39.002235410974194,83.67752324536282,0.060200108883844125,0.060577105066322245,0.05461134636695506,0.05789553015667342,0.0575843565994016
24,APT69883@H,51.80673318949323,24.838844679894013,63.161633614587636,32.64533872214642,27.677569786167616,33.355019998714816,26.967888509599216,53.22609574263003,12.064581701662807,53.93577701919843,70.96812765684004,31.225976169009616,10.645219148526007,41.87119531753562,26.967888509599216,78.06494042252405,63.87131489115603,7.806494042252404,36.90342638155682,83.03270935850284,0.0599842124481096,0.060259822628401,0.05471034359616043,0.05800113855711371,0.05736320620181488
25,APT69869@H,52.620674690078616,24.888156948010156,63.99811786631183,31.28796873464134,27.73251774206846,33.42123933018507,27.021427543553884,54.04285508710777,12.08853337474779,53.33176488859319,71.82011004997216,30.576878536126763,9.955262779204062,41.2432315138454,27.021427543553884,78.21992183660335,65.42029826334098,7.821992183660335,36.976690322757946,83.19755322620537,0.05968289699198295,0.05997765518988969,0.05432644798943493,0.05767022410651862,0.05725257720759805
26,APT69849@H,51.854896473836135,24.861936665537872,63.22035323522487,32.67568818899263,27.703300855885058,33.386029236579425,26.99295980829826,53.275578569009724,12.075797808975537,53.98591961659652,71.03410475867963,29.834323998645445,11.36545676138874,41.91012180762098,26.99295980829826,78.13751523454759,64.64103533039847,7.813751523454759,36.93773447451341,83.10990256765517,0.059945508916821426,0.05996503801835104,0.05468784511465492,0.05778340160727253,0.05727715875610372
27,APT69876@H,53.902217283473384,26.24186894063836,63.831573098850065,31.206546848326695,27.660348342835025,32.62502625052336,27.660348342835025,53.19297758237505,11.347835217573344,53.902217283473384,70.9239701098334,28.369588043933362,9.929355815376676,41.84514236480171,26.951108641736692,75.88864801752175,65.25005250104672,7.801636712081674,39.00818356040837,82.98104502850508,0.06011225697492986,0.06062667081431613,0.05457992478124961,0.05787704924937157,0.05756439708179876
28,APT69862@H,52.620674690078616,24.888156948010156,63.99811786631183,31.28796873464134,27.73251774206846,33.42123933018507,27.021427543553884,54.04285508710777,12.08853337474779,53.33176488859319,71.82011004997216,30.576878536126763,9.955262779204062,41.2432315138454,27.021427543553884,78.21992183660335,65.42029826334098,7.821992183660335,36.976690322757946,83.19755322620537,0.05968289699198295,0.05997765518988969,0.05432644798943493,0.05767022410651862,0.05725257720759805
29,APU51916@H,58.52022576863216,26.08732955951072,81.08224052280359,47.239218391546444,38.778462858732155,36.66327397552858,31.022770286985722,60.63541465183573,11.986070338153574,52.8797220800893,88.83793309455002,40.89365174193573,14.806322182425005,51.46959615795359,40.89365174193573,76.14679979532859,65.57085537931073,9.870881454950002,54.994910963292874,69.09617018465002,0.05937813184518608,0.05947598134151722,0.05866780806518282,0.05988714568942866,0.057527971990827875
30,APU51926@H,58.52022576863216,26.08732955951072,81.08224052280359,47.239218391546444,38.778462858732155,36.66327397552858,31.022770286985722,60.63541465183573,11.986070338153574,52.8797220800893,88.83793309455002,40.89365174193573,14.806322182425005,51.46959615795359,40.89365174193573,76.14679979532859,65.57085537931073,9.870881454950002,54.994910963292874,69.09617018465002,0.05937813184518608,0.05947598134151722,0.05866780806518282,0.05988714568942866,0.057527971990827875
31,APU51936@H,58.49789712181789,26.0773758253887,81.05130324107299,47.22119406219035,38.76366676746969,36.649284943789525,31.01093341397575,60.612278945498055,11.981497000854267,52.85954559200412,88.80403659456692,40.878048591149856,14.800672765761153,52.1547516507774,40.878048591149856,75.41295171125921,65.54583653408511,9.867115177174103,54.97392741568429,69.06980624021871,0.05938519131480447,0.059600650067194685,0.05873274389170166,0.05997376545036786,0.05751370804920976
32,ARB07433@H,58.45955801713693,26.060284899205616,80.29385077052541,47.19024562829125,38.738261336657,36.62526526374843,30.9906090693256,60.572554090045486,12.677976437451381,53.52923384701695,88.04150303785681,41.55558943386842,14.790972510359945,52.12056979841123,40.85125740956556,75.36352660040544,66.20721028446833,9.860648340239964,54.2335658713198,68.32020635737689,0.05932163521880435,0.059619591461721584,0.059161470778886914,0.05988483586854272,0.05768044236918996
33,ARB07425@H,52.31314638666477,28.2773764252242,64.33103136738505,32.51898288900783,27.570442014593596,31.812048478377225,26.86350760396299,53.72701520792598,9.897081748828471,51.60621197603417,72.10730988432171,27.570442014593596,10.604016159459075,41.7091302272057,26.156573193332385,77.05585075873594,64.33103136738505,7.776278516936656,37.467523763422065,83.4182604544114,0.06048733972413212,0.06029974871625217,0.05565850385933701,0.05875230560849334,0.05786769146118031
34,ARE29973@H,54.175782531940015,29.93924824133527,81.97651304175133,39.91899765511369,32.07776597285922,41.344676142796324,21.385177315239478,59.165657238829226,14.25678487682632,56.31430026346396,94.0947801870537,29.93924824133527,8.554070926095791,54.175782531940015,33.50344446054185,91.24342321168844,75.56095984717949,9.266910169937107,49.89874706889212,89.8177447240058,0.05986592613066521,0.05812404114544458,0.0546589595110211,0.05729265632728167,0.057219173044271446
35,ARB07608@H,42.380392253869466,25.42823535232168,81.22908515324981,47.324771350154236,39.55503277027817,27.547254965015153,27.547254965015153,51.562810575541185,19.07117651424126,56.507189671825955,93.94320282941065,42.380392253869466,9.182418321671717,63.5705883808042,36.02333341578905,109.48267998916279,60.745228897212904,10.595098063467367,51.562810575541185,62.157908639008554,0.05762465776630906,0.059585884510177906,0.05962019982889616,0.05964016256684764,0.05718922442994475
36,ARA15421@H,58.50953945033544,26.082565779065195,81.0674341781756,47.230592086415356,38.77138156347529,36.656578932740274,31.017105250780233,60.62434208107045,11.983881574165089,52.8700657683754,89.52664470111567,40.88618419421031,14.803618415145111,51.460197347885384,40.1812499839653,76.13289470646058,65.5588815527855,9.869078943430074,54.98486839911041,69.08355260401052,0.05943753451835995,0.05943507889176029,0.058715415284202044,0.059874721010585684,0.05760304005008671
37,ARB07599@H,42.380392253869466,25.42823535232168,81.22908515324981,47.324771350154236,39.55503277027817,27.547254965015153,27.547254965015153,51.562810575541185,19.07117651424126,56.507189671825955,93.94320282941065,42.380392253869466,9.182418321671717,63.5705883808042,36.02333341578905,109.48267998916279,60.745228897212904,10.595098063467367,51.562810575541185,62.157908639008554,0.05762465776630906,0.059585884510177906,0.05962019982889616,0.05964016256684764,0.05718922442994475
38,ARB07438@H,43.88646936354254,26.190312362114092,86.3572461669708,44.59431564359967,39.63939168319971,28.313851202285505,28.313851202285505,52.380624724228184,14.864771881199891,63.70616520514239,91.31217012737076,38.22369912308543,9.909847920799928,64.41401148519952,38.22369912308543,109.0083271287992,55.21200984445674,11.325540480914203,48.13354704388536,62.99831892508525,0.057205651971871954,0.059571629839722334,0.058416126433684164,0.058829570186379555,0.05813074151120431
39,ARB07617@H,42.380392253869466,25.42823535232168,81.22908515324981,47.324771350154236,39.55503277027817,27.547254965015153,27.547254965015153,51.562810575541185,19.07117651424126,56.507189671825955,93.94320282941065,42.380392253869466,9.182418321671717,63.5705883808042,36.02333341578905,109.48267998916279,60.745228897212904,10.595098063467367,51.562810575541185,62.157908639008554,0.05762465776630906,0.059585884510177906,0.05962019982889616,0.05964016256684764,0.05718922442994475
40,ARB07414@H,58.48383359235977,25.366482040059662,80.32719312685559,47.20984157455548,38.75434756120226,36.640474057863955,31.003478048961806,60.59770709569808,11.978616518917063,53.551462084570396,89.48731164132158,41.57284556565333,14.797114523368135,52.14221308234486,40.86822106454056,73.98557261684068,66.93932760571299,9.864743015578757,54.96071108679593,68.34857660793853,0.05963499512329787,0.059524663836330746,0.05893572573024063,0.0597459146455415,0.05753419955182091
41,ARB07406@H,54.96903384268193,28.555342255938665,81.3827254294252,41.40524627111106,32.124760037931,41.40524627111106,20.70262313555553,57.11068451187733,15.705438240766265,56.39680095547886,94.23262944459759,30.696992925134065,8.5666026767816,54.25515028628346,33.55252715072793,92.09097877540219,74.957773421839,9.280486233180065,49.97184894789266,90.66321166260526,0.05944020171149956,0.05792059671332303,0.05484381300908551,0.056976643506873995,0.05693518866075143
42,ARK08620@H,51.95532573743674,24.198370891408892,63.34279439221739,32.73897238249438,27.756954846027845,33.450689173418176,27.045238055104054,53.37875931928432,12.810902236628237,53.37875931928432,71.1716790923791,30.60382200972301,10.675751863856863,41.991290664503666,27.045238055104054,79.00056379254079,65.47794476498876,7.828884700161701,36.297556337113335,83.27086453808354,0.05940190998898708,0.05968489525001927,0.05425604351963161,0.0578947902439959,0.0570455700735752
43,ARE29961@H,54.98634847392487,28.56433686957136,81.40836007827838,40.70418003913919,32.13487897826778,41.41828846087847,20.709144230439236,57.842782160882,15.710385278264248,56.41456531740344,94.26231166958549,30.706662134789212,8.569301060871409,54.27224005218559,33.56309582174635,92.11998640436764,74.98138428262482,9.283409482610692,49.98758952174988,90.69176956088907,0.0594718992364507,0.05789317681920177,0.05475721037785081,0.0569524405165695,0.05681685131064322
44,ARE29990@H,58.48383359235977,25.366482040059662,80.32719312685559,47.20984157455548,38.75434756120226,36.640474057863955,31.003478048961806,60.59770709569808,11.978616518917063,53.551462084570396,89.48731164132158,41.57284556565333,14.797114523368135,52.14221308234486,40.86822106454056,73.98557261684068,66.93932760571299,9.864743015578757,54.96071108679593,68.34857660793853,0.05963499512329787,0.059524663836330746,0.05893572573024063,0.0597459146455415,0.05753419955182091
45,ARE30017@H,58.45955801713693,26.060284899205616,80.29385077052541,47.19024562829125,38.738261336657,36.62526526374843,30.9906090693256,60.572554090045486,12.677976437451381,53.52923384701695,88.04150303785681,41.55558943386842,14.790972510359945,52.12056979841123,40.85125740956556,75.36352660040544,66.20721028446833,9.860648340239964,54.2335658713198,68.32020635737689,0.05932163521880435,0.059619591461721584,0.059161470778886914,0.05988483586854272,0.05768044236918996
46,ARE29999@H,58.48383359235977,25.366482040059662,80.32719312685559,47.20984157455548,38.75434756120226,36.640474057863955,31.003478048961806,60.59770709569808,11.978616518917063,53.551462084570396,89.48731164132158,41.57284556565333,14.797114523368135,52.14221308234486,40.86822106454056,73.98557261684068,66.93932760571299,9.864743015578757,54.96071108679593,68.34857660793853,0.05963499512329787,0.059524663836330746,0.05893572573024063,0.0597459146455415,0.05753419955182091
47,ARE30008@H,58.51473286049045,25.37988413226092,80.36963308549291,47.23478435726337,38.774822979843066,36.659832635487994,31.019858383874453,60.629723204845526,12.68994206613046,53.5797553903286,88.8295944629132,41.594810105649834,14.804932410485534,52.16976182742522,40.889813324198144,75.43465561533107,66.26969745645906,9.86995494032369,54.2847521717803,68.38468780081413,0.05962093802469563,0.059378304554926264,0.05884393112990395,0.05961975657644715,0.05754028826233484
48,ARE29985@H,54.175782531940015,29.93924824133527,81.97651304175133,39.91899765511369,32.07776597285922,41.344676142796324,21.385177315239478,59.165657238829226,14.25678487682632,56.31430026346396,94.0947801870537,29.93924824133527,8.554070926095791,54.175782531940015,33.50344446054185,91.24342321168844,75.56095984717949,9.266910169937107,49.89874706889212,89.8177447240058,0.05986592613066521,0.05812404114544458,0.0546589595110211,0.05729265632728167,0.057219173044271446
49,ARE29979@H,54.96514662013432,28.553322919550293,81.37697032071834,41.40231823334793,32.12248828449408,41.40231823334793,20.701159116673963,57.10664583910059,15.704327605752662,57.10664583910059,94.22596563451597,30.694822138516567,8.565996875865089,54.25131354714556,33.55015443047159,92.0844664155497,74.95247266381952,9.279829948853846,49.968315109213016,89.94296719658342,0.05945472771507742,0.05793025897310068,0.05483856724215874,0.0569933128511637,0.05695006022974205
50,ARE29967@H,54.97697545073646,28.559467766616343,81.39448313485657,40.697241567428286,32.12940123744339,41.4112282615937,20.70561413079685,57.83292222739809,15.707707271638988,56.40494883906728,93.53225693566853,30.70142784911257,8.567840329984904,54.97697545073646,33.5573746257742,92.1042835473377,74.9686028873679,9.281827024150312,49.9790685915786,90.67631015900689,0.05946491392817885,0.05792393134534518,0.05480051925011377,0.05700618748638229,0.056817753824571306
51,ARB07420@H,58.48383359235977,25.366482040059662,80.32719312685559,47.20984157455548,38.75434756120226,36.640474057863955,31.003478048961806,60.59770709569808,11.978616518917063,53.551462084570396,89.48731164132158,41.57284556565333,14.797114523368135,52.14221308234486,40.86822106454056,73.98557261684068,66.93932760571299,9.864743015578757,54.96071108679593,68.34857660793853,0.05963499512329787,0.059524663836330746,0.05893572573024063,0.0597459146455415,0.05753419955182091
52,ARB07399@H,54.98634847392487,28.56433686957136,81.40836007827838,40.70418003913919,32.13487897826778,41.41828846087847,20.709144230439236,57.842782160882,15.710385278264248,56.41456531740344,94.26231166958549,30.706662134789212,8.569301060871409,54.27224005218559,33.56309582174635,92.11998640436764,74.98138428262482,9.283409482610692,49.98758952174988,90.69176956088907,0.0594718992364507,0.05789317681920177,0.05475721037785081,0.0569524405165695,0.05681685131064322
53,ARB07392@H,51.95532573743674,24.198370891408892,63.34279439221739,32.73897238249438,27.756954846027845,33.450689173418176,27.045238055104054,53.37875931928432,12.810902236628237,53.37875931928432,71.1716790923791,30.60382200972301,10.675751863856863,41.991290664503666,27.045238055104054,79.00056379254079,65.47794476498876,7.828884700161701,36.297556337113335,83.27086453808354,0.05940190998898708,0.05968489525001927,0.05425604351963161,0.0578947902439959,0.0570455700735752
54,ARA15429@H,52.41751908708057,26.208759543540285,62.3343470224742,33.292208068821445,27.625449248596517,32.58386321629333,27.625449248596517,53.834208792136806,12.04186249297797,53.12586393960869,70.83448525281159,29.04213895365275,9.916827935393622,41.79234629915884,26.917104396068403,77.20958892556463,65.16772643258666,7.791793377809275,36.83393233146202,82.87634774578956,0.060500739042467735,0.060523190005265536,0.05475022769290546,0.058095808349223656,0.0577851823820218
55,APT69856@H,51.95532573743674,24.198370891408892,63.34279439221739,32.73897238249438,27.756954846027845,33.450689173418176,27.045238055104054,53.37875931928432,12.810902236628237,53.37875931928432,71.1716790923791,30.60382200972301,10.675751863856863,41.991290664503666,27.045238055104054,79.00056379254079,65.47794476498876,7.828884700161701,36.297556337113335,83.27086453808354,0.05940190998898708,0.05968489525001927,0.05425604351963161,0.0578947902439959,0.0570455700735752
56,AZS52618@H,43.89932688215077,25.489931738023028,84.96643912674342,42.48321956337171,39.651004925813595,27.61409271619161,27.61409271619161,52.39597079482511,16.285234165959157,65.84899032322615,92.04697572063871,41.775165903982185,9.204697572063871,61.60066836688898,39.651004925813595,109.04026354598739,57.35234641055181,11.328858550232455,49.563756157266994,58.768453729330865,0.05712392306225342,0.059230190740647774,0.05858425383092221,0.05847819735907064,0.05852977561757745
57,QEO75985@H,53.920930355782524,26.250979252157283,63.144247390324274,31.926866658029127,27.669951103625245,33.345838509497085,26.960465177891262,53.211444430048545,10.642288886009709,53.920930355782524,70.94859257339806,28.379437029359224,9.932802960275728,41.15018369257088,26.960465177891262,76.6244799792699,65.27270516752621,7.804345183073787,39.02172591536893,83.71933923660971,0.060007407899953576,0.06045850763417548,0.05453827392432045,0.05793606884809726,0.05757381595947273
58,QEG03731@H,55.008410124983925,28.57579746752412,78.58344303569133,39.291721517845666,31.43337721427653,41.43490632790997,19.28866329057878,55.722805061672034,15.716688607138265,52.86522531491962,94.30013164282958,30.718982277588427,8.572739240257235,52.86522531491962,32.862167087652736,91.44255189607718,73.5826784788746,9.287134176945338,47.8644607581029,89.29936708601286,0.05966710156098148,0.05766948920121981,0.054614461927124124,0.056874221553672034,0.05677978906889961
59,QEG03757@H,59.18208472954285,26.068299226108163,81.0230921892551,47.909306685820404,38.75017452529592,36.63652864209796,31.000139620236734,60.59118198500816,11.977326671455101,52.841147079948975,88.77312709431428,41.56836903622653,14.795521182385713,51.43204982448367,40.15927178076122,76.09125179512652,64.81847375140407,9.863680788257142,54.954792963146936,68.34121689006734,0.05937496538827835,0.05978348266097128,0.05880812621747232,0.05999770106091613,0.05748709693970887
60,QEG03785@H,53.91651416715441,26.24882926558833,63.13907580100977,31.92425180949932,27.66768490156608,33.34310744547707,26.958257083577205,53.207086349165536,10.641417269833108,54.625941985143285,70.94278179888738,28.37711271955495,9.931989451844233,41.14681344335468,27.66768490156608,75.9087765248095,64.55793143698752,7.8037059978776115,39.01852998938806,83.71248252268711,0.06000792894138791,0.06043509483595072,0.05458460797330415,0.05804305207357198,0.057501498186911484
61,QEG03794@H,59.870344814398166,26.061208919208614,81.00105474889163,47.89627585151853,38.73963487990469,36.626563886455344,30.991707903923757,60.57470181221461,11.974068962879633,53.53113183405012,88.74898172487258,41.55706287117049,14.791496954145428,51.41806084060077,40.14834887553759,75.36619876636004,64.80084379911331,9.860997969430287,54.93984582968302,67.6182717903791,0.05942560425233928,0.05982763032824026,0.05884998876212523,0.060012547047148576,0.05752723179369772
62,QEG03814@H,59.13940232938821,26.049498645087663,80.96465795094815,47.8747542666476,38.722227715670854,36.61010620390699,30.97778217253668,60.54748333723079,11.9686885666619,53.5070782980179,88.70910349408231,41.538389731356006,14.784850582347053,52.098997290175326,40.834349227434714,74.62829341565656,64.77172636075852,9.856567054898035,54.91515930586048,67.58788837644367,0.05948739228692779,0.0599341603496762,0.05889796246454447,0.06002933602201329,0.05761064495555004
