,#,Xc1.A,Xc1.R,Xc1.N,Xc1.D,Xc1.C,Xc1.Q,Xc1.E,Xc1.G,Xc1.H,Xc1.I,Xc1.L,Xc1.K,Xc1.M,Xc1.F,Xc1.P,Xc1.S,Xc1.T,Xc1.W,Xc1.Y,Xc1.V,Xc2.lambda1,Xc2.lambda2,Xc2.lambda3,Xc2.lambda4,Xc2.lambda5,Xc2.lambda6,Xc2.lambda7,Xc2.lambda8,Xc2.lambda9,Xc2.lambda10,Xc2.lambda11,Xc2.lambda12,Xc2.lambda13,Xc2.lambda14,Xc2.lambda15
10,AOG74783@H,33.79244641881925,17.121506185535086,40.550935702583104,20.726033803542474,17.572072137786012,20.726033803542474,17.121506185535086,33.79244641881925,6.758489283763851,33.79244641881925,45.05659522509234,18.022638090036935,6.307923331512927,27.033957135055402,17.121506185535086,48.66112284309972,41.45206760708495,4.956225474760156,23.879995469298937,53.16678236560895,0.03817842328942914,0.03837576629104252,0.03497425419401063,0.03702030371853213,0.03671614674866499,0.03763145909615737,0.035674071898816044,0.03623927779069919,0.03636630448669487,0.03617745375729643,0.03690386761572224,0.036322515833131626,0.03631293571072827,0.03611523464593519,0.03642603267221601
11,ARK08679@H,36.59478015899666,16.512278852230203,51.32194778395874,29.90061305674118,24.545279374936786,23.20644595448569,19.63622349994943,38.379891386264795,7.586722715889553,33.470835511277436,56.23100365894609,25.884112795387885,9.371833943157682,32.57827989764337,25.884112795387885,48.64428094305654,41.50383603398402,6.247889295438455,34.80966893172854,43.735225068069184,0.03758645395424413,0.037633531155174677,0.03712527181793309,0.0378757047561365,0.03641323749097813,0.03622197102630377,0.036874685335324384,0.03651355495798737,0.037609773126249656,0.03590127181585904,0.03685120396188131,0.03748774004748117,0.037386650184747496,0.035573460216176564,0.03666768333649007
12,ARU07610@H,37.037101263842615,16.510515021231047,51.31646560652892,29.89741909249946,24.542657463992093,23.203967056865253,19.634125971193676,38.375791670969456,7.5859123070521015,33.46726017817104,56.22499709932735,25.881347871118937,9.37083284988789,32.57479990675314,25.881347871118937,48.1928546565663,41.49940262093209,6.24722189992526,34.80595058529788,43.730553299476824,0.037580064894191856,0.037641993255824645,0.03713050521760909,0.03790221671514425,0.03640910977602326,0.03623666952690083,0.03688828373247368,0.03649660720371916,0.037613552449552605,0.03588337681914149,0.03683535690760873,0.03750049790928482,0.03738248673052842,0.03560541456274377,0.03666372859030628
13,ARK08670@H,37.43222741320059,16.488004932005023,49.46401479601507,29.856657579576666,24.063574765628953,23.172331255790844,18.716113706600296,40.997201452553035,6.684326323785821,34.31287512876721,56.59396287471995,26.737305295143283,9.803678608219204,31.639144599252884,24.954818275467066,49.46401479601507,42.3340667173102,6.238704568866766,34.31287512876721,43.67093198206736,0.037654232922792706,0.03790395823908242,0.0373516699860957,0.03783509226378259,0.03656515019551778,0.036603299458143786,0.036707260043557816,0.03658673751755798,0.037234303848366616,0.036161536418452746,0.03640649761818998,0.03757610388643491,0.037365241149650494,0.03561199495550726,0.03681516657781254
14,ARK08627@H,34.49769136310758,19.064513648033135,52.2004540362812,25.419351530710845,20.426264622892642,26.327185513950518,13.617509748595095,37.675110304446434,9.07833983239673,35.85944233796709,59.91704289381842,19.064513648033135,5.447003899438038,34.49769136310758,21.334098606132315,58.10137492733907,48.115201111702675,5.900920891057875,31.774189413388555,57.193540944099404,0.03812102283164437,0.03701183699616991,0.034805365558459915,0.03648243334899512,0.03643564115700158,0.03710276397104478,0.036115043948972275,0.03565283147698407,0.03721962263014896,0.03603701773600585,0.03575008800678372,0.03711310343397236,0.03627070391204357,0.03489004697993561,0.03707548639200155
15,ARK08635@H,37.092030803647326,16.088109746160285,51.39257280023425,29.941759805353865,24.57905655663377,23.238380744453746,19.663245245307017,38.43270661582735,7.597162935686802,33.51689530450059,57.64905992374103,25.919732368813793,9.384730685260168,33.070003367107255,25.025948494027112,48.26432923848086,42.00784211497408,6.256487123506778,34.41067917928728,43.348517927154106,0.037680569377704344,0.0377070750641282,0.03716481825729559,0.0378744703220226,0.03627401343549346,0.03621873822407029,0.036906994802909744,0.03636898623437073,0.03750120563106724,0.03587130416903278,0.03673457750886948,0.03749025004851257,0.03727551451775653,0.03557191038630481,0.03646763462712025
16,ARK08642@H,33.051656150500406,15.846684455719371,40.29585475882926,20.82707099894546,17.657734107801588,21.279833411966013,17.204971694781033,33.95718097654151,7.696961021349409,34.409943389562066,45.729003715075905,19.4687837598838,6.791436195308302,26.712982368212657,17.204971694781033,49.351103019240334,41.20137958487037,4.980386543226088,23.543645477068782,52.973202323404756,0.03823249229474872,0.03830141048300522,0.03473857876668894,0.036952505182794956,0.03650693444114876,0.03739950620155297,0.035496410078027486,0.03608809022618764,0.0359278532059181,0.036092702057344044,0.036707437982926194,0.03619294492695426,0.036200258379419266,0.03593954089215362,0.03646092186057628
17,ARK08651@H,37.04093706769465,16.512224957887977,51.76805662472987,29.900515464283636,24.545199261725372,23.206370211085805,19.636159409380298,38.37976611833422,7.586697953624206,33.47072626598914,56.23082012686176,25.884028312364936,9.37180335447696,32.578173565562764,25.884028312364936,47.75156947281118,41.503700569826535,6.24786890298464,34.80955531662871,43.73508232089248,0.037585449032805356,0.03765642009458381,0.03711147510569185,0.037870461597850645,0.03642857082218233,0.036211151243130534,0.03686510219274309,0.0365145785860898,0.0376242297578984,0.03589465006724923,0.036813154647617655,0.03749767098939138,0.03736745788172523,0.03562596476403479,0.03665731300381715
18,ARK08661@H,37.032438404437315,16.508436397158803,50.86383106151631,29.89365509755783,24.53956761739822,23.201045747358318,19.631654093918577,38.37096027447721,7.58495726355945,33.46304675099757,56.21791854167592,25.87808948743812,9.36965309027932,32.570698837637636,25.87808948743812,48.63296127811647,41.49417797123699,6.246435393519547,34.801568621037475,43.725047754636826,0.03754807870848371,0.037650542457633725,0.037135950553140576,0.03790757236864127,0.03637773887872744,0.03624310209046652,0.03692714851054158,0.036519023774036916,0.03761843191048512,0.03587717885525586,0.036844261406627984,0.037518511942824975,0.03740719716766008,0.03558112362736704,0.036670181068139705
19,ARU07587@H,37.037101263842615,16.510515021231047,51.31646560652892,29.89741909249946,24.542657463992093,23.203967056865253,19.634125971193676,38.375791670969456,7.5859123070521015,33.46726017817104,56.22499709932735,25.881347871118937,9.37083284988789,32.57479990675314,25.881347871118937,48.1928546565663,41.49940262093209,6.24722189992526,34.80595058529788,43.730553299476824,0.037580064894191856,0.037641993255824645,0.03713050521760909,0.03790221671514425,0.03640910977602326,0.03623666952690083,0.03688828373247368,0.03649660720371916,0.037613552449552605,0.03588337681914149,0.03683535690760873,0.03750049790928482,0.03738248673052842,0.03560541456274377,0.03666372859030628
20,ARU07601@H,33.05062519886289,15.84619016383837,40.294597845189,20.826421358187574,17.6571833254199,21.279169648582954,17.204435035024517,33.95612177965365,7.696720936721494,34.40887007004903,45.274829039538204,19.468176487001426,6.791224355930731,26.71214913332754,17.204435035024517,49.80231194349202,41.20009442597976,4.980231194349202,23.542911100559866,52.971549976259695,0.03819162265164425,0.038320375785967996,0.03474310839769793,0.03691736319348116,0.03654334109130229,0.03746542095122262,0.035512074259253484,0.036096519167485096,0.035993987047156166,0.036092224810758244,0.03670864823938179,0.03616912763278422,0.03615904096446847,0.03592392431693528,0.03641493109507898
21,ARU07568@H,37.037101263842615,16.510515021231047,51.31646560652892,29.89741909249946,24.542657463992093,23.203967056865253,19.634125971193676,38.375791670969456,7.5859123070521015,33.46726017817104,56.22499709932735,25.881347871118937,9.37083284988789,32.57479990675314,25.881347871118937,48.1928546565663,41.49940262093209,6.24722189992526,34.80595058529788,43.730553299476824,0.037580064894191856,0.037641993255824645,0.03713050521760909,0.03790221671514425,0.03640910977602326,0.03623666952690083,0.03688828373247368,0.03649660720371916,0.037613552449552605,0.03588337681914149,0.03683535690760873,0.03750049790928482,0.03738248673052842,0.03560541456274377,0.03666372859030628
22,ARU07594@H,35.15660711171675,17.806593212427963,50.68030375844882,25.568441535793998,20.546069091263035,25.568441535793998,12.784220767896999,36.982924364273465,11.414482828479464,36.982924364273465,59.811890021232394,20.546069091263035,5.478951757670143,33.78686917229921,21.915807030680572,61.63820727378911,47.02766925333539,5.935531070809321,31.047393293464143,56.61583482925814,0.037881803704881874,0.037042413145027264,0.034700716901086656,0.03638880056331608,0.0362513861923385,0.03663815232926327,0.036089337546854026,0.03543108900273303,0.03694055122936356,0.03555789996959228,0.03574723522924657,0.03711908636951368,0.03632680750386935,0.034571763164674196,0.03673364400906114
23,APT69890@H,33.855951871206926,16.702269589795417,41.0785549370644,19.86215843110806,17.6050949730276,20.764983814340248,17.6050949730276,33.855951871206926,7.222603065857477,34.30736456282302,45.14126916160923,18.056507664643693,6.3197776826252925,26.633348805349446,17.15368228141151,48.30115800292188,41.0785549370644,4.965539607777015,24.827698038885078,53.26669761069889,0.03832165283673806,0.03856163773200756,0.034764007826951805,0.03685462449484633,0.036656540384122346,0.03757183881918772,0.03566800709005689,0.03616139951155905,0.036055505231631264,0.036218361862523966,0.03676305465572396,0.03611689825626767,0.03643854316785811,0.03597745682467536,0.036457779689757636
24,APT69883@H,33.00582358151197,15.824709936341355,40.23997669526802,20.798190202048637,17.63324821478037,21.25032477165839,17.181113645170615,33.91009272073148,7.686287683365801,34.36222729034123,45.2134569609753,19.893921062829133,6.782018544146295,26.67593960697543,17.181113645170615,49.734802657072834,40.692111264877774,4.973480265707283,23.510997619707158,52.899744644341105,0.038215656766015946,0.038391246702457096,0.03485569997656203,0.03695224981163599,0.03654582613888833,0.03751544292955148,0.03547323507955392,0.03616694720768226,0.035998650666191415,0.036199852324326404,0.03674925880197649,0.036175571376750634,0.03621599570244737,0.035951463282983286,0.036458333623224294
25,APT69869@H,33.55713437215892,15.871617608453544,40.812730993166255,19.95289070777017,17.68551676370538,21.313315074209047,17.23204197489242,34.46408394978484,7.709071409820293,34.01060916097188,45.800953670108804,19.49941591895721,6.348647043381418,26.30153775115159,17.23204197489242,49.88222676942543,41.71968057079218,4.988222676942542,23.580689018273837,53.05655029111614,0.038060838365824065,0.0382488108787709,0.03464493615638297,0.03677732129078622,0.03651098048102395,0.03745506660715265,0.035409329650903903,0.036327527952855994,0.03600821827529308,0.036047328293911454,0.03654621542008504,0.03616169270397125,0.03627484518017089,0.03576081863756087,0.03629128129234832
26,APT69849@H,33.081414699079595,15.860952252983369,40.33213572901485,20.845822961063856,17.673632510467183,21.298993025434807,17.220462446096228,33.987754827821504,7.703891094306208,34.440924892192456,45.31700643709534,19.03314270358004,7.250721029935254,26.737033797886248,17.220462446096228,49.84870708080487,41.238475857756754,4.9848707080804875,23.564843347289575,53.020897531401545,0.038242911946132725,0.03825537075620339,0.034888726162046385,0.03686357125904472,0.0365406079356793,0.03740509102159774,0.03542061847493324,0.03604165924912725,0.03599061552401387,0.036002447366859036,0.03667740835071249,0.03612278274147227,0.03606111650729218,0.035873841797392926,0.03644316653653906
27,APT69876@H,34.310778987676194,16.7039318755792,40.63118564330075,19.86413520339148,17.606847112096993,20.767050439909276,17.606847112096993,33.859321369417295,7.223321892142357,34.310778987676194,45.14576182588973,18.058304730355893,6.320406655624562,26.63599947727494,17.155389493838097,48.30596515370201,41.53410087981855,4.96603380084787,24.83016900423935,52.82054133629098,0.03826370170767696,0.038591145372165986,0.03474216517819605,0.036840908321277795,0.03664189351331186,0.03761878402730618,0.03560947348143911,0.03616067767377477,0.0361168264225521,0.03623356731018731,0.036771207238583355,0.03607783991226979,0.03643796497154385,0.03598309030983353,0.036453136300984
28,APT69862@H,33.55713437215892,15.871617608453544,40.812730993166255,19.95289070777017,17.68551676370538,21.313315074209047,17.23204197489242,34.46408394978484,7.709071409820293,34.01060916097188,45.800953670108804,19.49941591895721,6.348647043381418,26.30153775115159,17.23204197489242,49.88222676942543,41.71968057079218,4.988222676942542,23.580689018273837,53.05655029111614,0.038060838365824065,0.0382488108787709,0.03464493615638297,0.03677732129078622,0.03651098048102395,0.03745506660715265,0.035409329650903903,0.036327527952855994,0.03600821827529308,0.036047328293911454,0.03654621542008504,0.03616169270397125,0.03627484518017089,0.03576081863756087,0.03629128129234832
29,APU51916@H,37.037101263842615,16.510515021231047,51.31646560652892,29.89741909249946,24.542657463992093,23.203967056865253,19.634125971193676,38.375791670969456,7.5859123070521015,33.46726017817104,56.22499709932735,25.881347871118937,9.37083284988789,32.57479990675314,25.881347871118937,48.1928546565663,41.49940262093209,6.24722189992526,34.80595058529788,43.730553299476824,0.037580064894191856,0.037641993255824645,0.03713050521760909,0.03790221671514425,0.03640910977602326,0.03623666952690083,0.03688828373247368,0.03649660720371916,0.037613552449552605,0.03588337681914149,0.03683535690760873,0.03750049790928482,0.03738248673052842,0.03560541456274377,0.03666372859030628
30,APU51926@H,37.037101263842615,16.510515021231047,51.31646560652892,29.89741909249946,24.542657463992093,23.203967056865253,19.634125971193676,38.375791670969456,7.5859123070521015,33.46726017817104,56.22499709932735,25.881347871118937,9.37083284988789,32.57479990675314,25.881347871118937,48.1928546565663,41.49940262093209,6.24722189992526,34.80595058529788,43.730553299476824,0.037580064894191856,0.037641993255824645,0.03713050521760909,0.03790221671514425,0.03640910977602326,0.03623666952690083,0.03688828373247368,0.03649660720371916,0.037613552449552605,0.03588337681914149,0.03683535690760873,0.03750049790928482,0.03738248673052842,0.03560541456274377,0.03666372859030628
31,APU51936@H,37.009641802995084,16.498274056756845,51.278419365595596,29.875253021694824,24.524461435719633,23.186763539225833,19.619569148575707,38.34733969948888,7.580288080131523,33.442447412344954,56.18331165273952,25.86215933221343,9.363885275456587,32.99654811351369,25.86215933221343,47.711224974945466,41.46863479130774,6.242590183637724,34.780145308838755,43.69813128546407,0.037571002841117994,0.03770731630949236,0.03715822141456452,0.03794337379808328,0.036386978650372735,0.03631833632657741,0.03696082062218765,0.03656018327794482,0.037569009306074125,0.03591004012657942,0.036822641997528535,0.03758641493785932,0.03732905263774774,0.03566095368768282,0.03661635523492132
32,ARB07433@H,36.99366232798233,16.49115067632947,50.810572354096216,29.862353927407423,24.513872626976244,23.176752301868447,19.611098101580996,38.330782653090125,8.02272195064677,33.87371490273081,55.71334687949146,26.29669972711997,9.359842275754566,32.98230135265894,25.850992952084038,47.69062492884469,41.89643685337758,6.239894850503044,34.31942167776674,43.23355717848538,0.037539191476351666,0.03772774050088865,0.03743783817488608,0.03789558922149395,0.036500631895112004,0.036284506230166554,0.03666559371602693,0.03638814790078888,0.03757504477212991,0.03606596688292384,0.03688519675548375,0.03737776823431119,0.037323694420193315,0.03583553011378692,0.03679078466952457
33,ARB07425@H,33.2246135901258,17.959250589257188,40.8572950905601,20.653138177645765,17.51026932452576,20.204156912914335,17.06128805979433,34.12257611958866,6.285737706240016,32.77563232539437,45.796089002605825,17.51026932452576,6.7347189709714455,26.489894619154352,16.6123067950629,48.93895785572584,40.8572950905601,4.9387939120457265,23.796007030765775,52.979789238308705,0.03841612726894293,0.03829698630380721,0.035349284290084076,0.0373141893806786,0.03675236190038149,0.03799218860509123,0.03562332472120275,0.036297854061745474,0.03632628860773625,0.036426246380741815,0.03723756530475641,0.0361565540011782,0.03665117910292335,0.03583178111188681,0.03634680422741359
34,ARE29973@H,34.49769136310758,19.064513648033135,52.2004540362812,25.419351530710845,20.426264622892642,26.327185513950518,13.617509748595095,37.675110304446434,9.07833983239673,35.85944233796709,59.91704289381842,19.064513648033135,5.447003899438038,34.49769136310758,21.334098606132315,58.10137492733907,48.115201111702675,5.900920891057875,31.774189413388555,57.193540944099404,0.03812102283164437,0.03701183699616991,0.034805365558459915,0.03648243334899512,0.03643564115700158,0.03710276397104478,0.036115043948972275,0.03565283147698407,0.03721962263014896,0.03603701773600585,0.03575008800678372,0.03711310343397236,0.03627070391204357,0.03489004697993561,0.03707548639200155
35,ARB07608@H,26.89354057916715,16.136124347500292,51.54595277673704,30.031120313403317,25.10063787388934,17.480801376458647,17.480801376458647,32.72047437132004,12.102093260625217,35.8580541055562,59.61401495048718,26.89354057916715,5.826933792152882,40.34031086875073,22.85950949229208,69.47497982951514,38.547408163472916,6.723385144791788,32.72047437132004,39.44385951611182,0.036567171505057436,0.03781171711249855,0.0378334927584366,0.03784616061436284,0.03629085636311897,0.03655390857437663,0.03617412677136044,0.036066379966791615,0.036707547436435374,0.035718822947658234,0.03744468541089815,0.0367027024257839,0.038221936365468695,0.0356484698207945,0.03618634560750567
36,ARA15421@H,37.027085558452846,16.506050188707896,51.30258842436238,29.889334125498085,24.53602055078201,23.19769215710299,19.628816440625606,38.36541395213187,7.583860897514439,33.45820984197547,56.65590199907846,25.874348944461026,9.36829875575313,32.56599091285612,25.428239479901354,48.17982217244467,41.48818020404958,6.24553250383542,34.79653823565449,43.71872752684794,0.0376143565078462,0.03761280249294436,0.03715737169959513,0.03789102492473542,0.03645341789388019,0.03623169103907319,0.03690371102295187,0.03648321256115468,0.03756467858974162,0.035902126589105014,0.036838792632806865,0.037467171454774635,0.03744129147754646,0.03561650188274775,0.036712384671423744
37,ARB07599@H,26.89354057916715,16.136124347500292,51.54595277673704,30.031120313403317,25.10063787388934,17.480801376458647,17.480801376458647,32.72047437132004,12.102093260625217,35.8580541055562,59.61401495048718,26.89354057916715,5.826933792152882,40.34031086875073,22.85950949229208,69.47497982951514,38.547408163472916,6.723385144791788,32.72047437132004,39.44385951611182,0.036567171505057436,0.03781171711249855,0.0378334927584366,0.03784616061436284,0.03629085636311897,0.03655390857437663,0.03617412677136044,0.036066379966791615,0.036707547436435374,0.035718822947658234,0.03744468541089815,0.0367027024257839,0.038221936365468695,0.0356484698207945,0.03618634560750567
38,ARB07438@H,27.852001969575397,16.621356014101448,54.80555226271288,28.301227807794355,25.15664694026165,17.96903352875832,17.96903352875832,33.242712028202895,9.433742602598118,40.43032543970622,57.95013313024558,24.258195263823733,6.289161735065412,40.87955127792518,24.258195263823733,69.18077908571954,35.039615381078725,7.187613411503328,30.547356998889146,39.981099601487266,0.03630485556249839,0.037806393990879754,0.03707306812512758,0.03733545506081365,0.03689195213338186,0.0368873685528707,0.03600009711844107,0.036139498274915714,0.03659866463077857,0.03589956985626883,0.037232812546492515,0.0377548873717321,0.037395416532792006,0.035506045161214646,0.03594807686283453
39,ARB07617@H,26.89354057916715,16.136124347500292,51.54595277673704,30.031120313403317,25.10063787388934,17.480801376458647,17.480801376458647,32.72047437132004,12.102093260625217,35.8580541055562,59.61401495048718,26.89354057916715,5.826933792152882,40.34031086875073,22.85950949229208,69.47497982951514,38.547408163472916,6.723385144791788,32.72047437132004,39.44385951611182,0.036567171505057436,0.03781171711249855,0.0378334927584366,0.03784616061436284,0.03629085636311897,0.03655390857437663,0.03617412677136044,0.036066379966791615,0.036707547436435374,0.035718822947658234,0.03744468541089815,0.0367027024257839,0.038221936365468695,0.0356484698207945,0.03618634560750567
40,ARB07414@H,37.04293397722712,16.06681473711056,50.87824666751676,29.902127427400206,24.54652251503002,23.20762128693747,19.637218012024015,38.38183520531967,7.587106959191097,33.91883111167785,56.68015198925114,26.331724152486746,9.372308596647825,33.02623029294948,25.885423743122566,46.861542983239126,42.398538889597305,6.24820573109855,34.81143193040621,43.291139708325666,0.0377720653964307,0.037702182929299145,0.0373291568460121,0.03784232044448202,0.03644144756798455,0.036175990570471675,0.036747067699756886,0.03641130391283336,0.03734213969012907,0.0360121491676383,0.03682562359910774,0.03743793732506227,0.03718878744284969,0.035802961069418895,0.03666845697434136
41,ARB07406@H,35.07348666405815,18.219993072238,51.926980255878306,26.4189899547451,20.49749220626775,26.4189899547451,13.20949497737255,36.439986144476,10.0209961897309,35.984486317670054,60.1259771383854,19.58649255265585,5.4659979216714,34.617986837252204,21.40849185987965,58.75947765796755,47.827481814624754,5.92149774847735,31.884987876416503,57.848478004355655,0.03792635555508775,0.036956757912336456,0.034993588384423555,0.03635446007510982,0.03632800943752354,0.036944662303430124,0.035962369617325796,0.0355818998874041,0.03689249534056409,0.03602519684474257,0.03580100968245265,0.03695623353163677,0.036168152531481014,0.034676880216357925,0.03693210187417367
42,ARK08620@H,33.183774211366156,15.455456482006156,40.45693020289847,20.91032347565539,17.72831772936,21.364895725126157,17.273745479889232,34.0929187103077,8.182300490473848,34.0929187103077,45.45722494707693,19.54660672724308,6.81858374206154,26.819762718775387,17.273745479889232,50.45751969125539,41.82064695131078,5.000294744178462,23.183184723009234,53.18495318808001,0.03793989433845658,0.03812063652174483,0.03465323856992407,0.0369772996358457,0.036434904222266896,0.037304700849305046,0.03535520168032201,0.03605910847317335,0.035904683192579716,0.0359259156285761,0.036658075664227574,0.036036699499227894,0.03614078466141947,0.0357875589745676,0.0361290486175938
