,#,Xc1.A,Xc1.R,Xc1.N,Xc1.D,Xc1.C,Xc1.Q,Xc1.E,Xc1.G,Xc1.H,Xc1.I,Xc1.L,Xc1.K,Xc1.M,Xc1.F,Xc1.P,Xc1.S,Xc1.T,Xc1.W,Xc1.Y,Xc1.V,Xc2.lambda1,Xc2.lambda2,Xc2.lambda3,Xc2.lambda4,Xc2.lambda5,Xc2.lambda6,Xc2.lambda7,Xc2.lambda8
17,ARK08651@H,49.885469849648175,22.238101017313042,69.71945183806251,40.268993734053346,33.05663664735722,31.25354737568319,26.445309317885776,51.6885591213222,10.217505872819505,45.07723179185076,75.72974941030927,34.859725919031256,12.621624901718212,43.875172277401404,34.859725919031256,64.31018402304042,55.89576742189494,8.414416601145474,46.88032106352479,58.90091620801832,0.05061879998027257,0.05071438138406039,0.049980468071786334,0.0510026451755049,0.0490607558900197,0.04876794262140046,0.04964866144124096,0.04917658821103796
18,ARK08661@H,49.87647221207783,22.23409002225156,68.50503412261293,40.26173058083391,33.05067435740097,31.247910301542735,26.440539485920777,51.67923626793606,10.215662983196664,45.06910139645587,75.71609034604586,34.853438413259205,12.619348391007643,43.86725869255038,34.853438413259205,65.5004273628492,55.88568573160528,8.412898927338428,46.871865452314104,58.890292491369,0.050570953061956615,0.05070895451574729,0.05001588568391101,0.05105513061881764,0.04899470195583091,0.048813368824183426,0.049734664416173316,0.04918498897063481
19,ARU07587@H,49.880570806367686,22.235917106453066,69.11163424978656,40.265039084658255,33.05339029337618,31.25047809555566,26.44271223470094,51.683483004188204,10.216502454316274,45.07280494551297,75.7223123084618,34.8563024911967,12.620385384743631,43.87086348029929,34.8563024911967,64.90483912153869,55.89027813243609,8.413590256495755,46.87571714333349,58.895131795470284,0.05061181960513256,0.05069522305523901,0.05000636473652042,0.0510456850040725,0.04903480877842653,0.04880257089363785,0.04968014736183846,0.04915264795829294
20,ARU07601@H,44.27185229425128,21.226230552038288,53.97527197518307,27.89733158267889,23.652085472271235,28.50379531273713,23.045621742212997,45.48477975436776,10.309883410990025,46.091243484425995,60.646373005823676,26.077940392504182,9.096955950873552,35.78136007343597,23.045621742212997,66.71101030640604,55.188199435299545,6.671101030640604,31.536113963028313,70.9562564168137,0.0511583023539763,0.0513307692804234,0.04653896118367419,0.049451410996342024,0.04895040228129302,0.050185543314670546,0.04756900351531761,0.048351877016066004
21,ARU07568@H,49.880570806367686,22.235917106453066,69.11163424978656,40.265039084658255,33.05339029337618,31.25047809555566,26.44271223470094,51.683483004188204,10.216502454316274,45.07280494551297,75.7223123084618,34.8563024911967,12.620385384743631,43.87086348029929,34.8563024911967,64.90483912153869,55.89027813243609,8.413590256495755,46.87571714333349,58.895131795470284,0.05061181960513256,0.05069522305523901,0.05000636473652042,0.0510456850040725,0.04903480877842653,0.04880257089363785,0.04968014736183846,0.04915264795829294
22,ARU07594@H,47.06354127394533,23.837378047842442,67.84484521309003,34.22803001741479,27.504666978279744,34.22803001741479,17.114015008707394,49.50840056090354,15.280370543488745,49.50840056090354,80.06914164788103,27.504666978279744,7.334577860874598,45.229896808726686,29.33831144349839,82.51400093483923,62.955126639173635,7.945792682614147,41.56260787828939,75.79063789570418,0.05071171477187362,0.04958803716176909,0.04645324894180426,0.04871305731463014,0.04852910307525813,0.049046860206675306,0.04831217135909705,0.047430985429342515
23,APT69890@H,45.38499260437341,22.389929684824217,55.06712435997307,26.625862327899068,23.600196154274172,27.836128797349026,23.600196154274172,45.38499260437341,9.682131755599661,45.99012583909839,60.51332347249788,24.205329388999154,8.471865286149704,35.70286084877375,22.995062919549195,64.74925611557273,55.06712435997307,6.656465581974767,33.282327909873835,71.4057216975475,0.05137140840697683,0.05169311587922281,0.046602270824540305,0.04940480972145037,0.04913927159880502,0.05036625859548625,0.04781411091772273,0.04847551933081696
24,APT69883@H,44.22885750843186,21.205616613631715,53.9228536746635,27.870238977915967,23.629115655189622,28.476113738305443,23.023240894800146,45.44060702921082,10.299870926621118,46.04648178960029,60.587476038947756,26.658489457137012,9.088121405842163,35.746610862979175,23.023240894800146,66.64622364284253,54.528728435052976,6.664622364284253,31.505487540252833,70.88734696556887,0.05121020033089054,0.05144549645248529,0.046707750946216285,0.04951719467016425,0.04897257397116498,0.05027189143149478,0.04753526770274352,0.048464864105362784
25,APT69869@H,44.927973028226475,21.24971697280982,54.642129358653825,26.7139299086752,23.678256055416657,28.53533422063033,23.07112128476495,46.1422425695299,10.321291101079055,45.53510779887819,61.320611835822625,26.106795138023493,8.499886789123929,35.21381669779913,23.07112128476495,66.78482477168801,55.85639889995724,6.6784824771688,31.571008073888876,71.03476816624998,0.05095775761324096,0.051209424632780325,0.04638437656613473,0.049239320636798437,0.04888273021448742,0.05014672002781975,0.047407784879965026,0.04863711477706413
26,APT69849@H,44.295858194347396,21.23774023016656,54.004539442423535,27.912458588218904,23.664910542185595,28.519251166223665,23.058117964180834,45.50944335035691,10.3154738260809,46.11623592836167,60.67925780047588,25.48528827619987,9.708681248076141,35.80076210228077,23.058117964180834,66.74718358052347,55.21812459843305,6.674718358052347,31.55321405624746,70.99473162655678,0.051207078654708804,0.051223760942609144,0.04671583971583967,0.04936014798282785,0.04892770161667629,0.05008524038983885,0.047428041013172786,0.04825961167956787
27,APT69876@H,45.99754142101721,22.393539902337327,54.47077273541512,26.63015555953628,23.604001518679887,27.84061717587884,23.604001518679887,45.39231061284593,9.683692930740467,45.99754142101721,60.52308081712791,24.209232326851165,8.473231314397907,35.70861768210547,22.998770710508605,64.75969647432687,55.68123435175768,6.65753888988407,33.28769444942035,70.81200455603965,0.05129688850411968,0.05173586435849459,0.04657586417416773,0.049389470495687066,0.04912266827950605,0.05043230225480554,0.0477385906053439,0.04847754315659621
28,APT69862@H,44.927973028226475,21.24971697280982,54.642129358653825,26.7139299086752,23.678256055416657,28.53533422063033,23.07112128476495,46.1422425695299,10.321291101079055,45.53510779887819,61.320611835822625,26.106795138023493,8.499886789123929,35.21381669779913,23.07112128476495,66.78482477168801,55.85639889995724,6.6784824771688,31.571008073888876,71.03476816624998,0.05095775761324096,0.051209424632780325,0.04638437656613473,0.049239320636798437,0.04888273021448742,0.05014672002781975,0.047407784879965026,0.04863711477706413
29,APU51916@H,49.880570806367686,22.235917106453066,69.11163424978656,40.265039084658255,33.05339029337618,31.25047809555566,26.44271223470094,51.683483004188204,10.216502454316274,45.07280494551297,75.7223123084618,34.8563024911967,12.620385384743631,43.87086348029929,34.8563024911967,64.90483912153869,55.89027813243609,8.413590256495755,46.87571714333349,58.895131795470284,0.05061181960513256,0.05069522305523901,0.05000636473652042,0.0510456850040725,0.04903480877842653,0.04880257089363785,0.04968014736183846,0.04915264795829294
30,APU51926@H,49.880570806367686,22.235917106453066,69.11163424978656,40.265039084658255,33.05339029337618,31.25047809555566,26.44271223470094,51.683483004188204,10.216502454316274,45.07280494551297,75.7223123084618,34.8563024911967,12.620385384743631,43.87086348029929,34.8563024911967,64.90483912153869,55.89027813243609,8.413590256495755,46.87571714333349,58.895131795470284,0.05061181960513256,0.05069522305523901,0.05000636473652042,0.0510456850040725,0.04903480877842653,0.04880257089363785,0.04968014736183846,0.04915264795829294
31,APU51936@H,49.84426405516114,22.219732169168218,69.06132971498229,40.235731225250554,33.02933160281762,31.227731697209386,26.423465282254096,51.64586396076937,10.209066131779991,45.03999764020585,75.66719603554583,34.830931508425856,12.611199339257636,44.439464338336435,34.830931508425856,64.25706330002701,55.84959707385525,8.407466226171758,46.84159754581408,58.85226358320231,0.05060030022442266,0.05078388601939183,0.05004436978522203,0.05110180619425209,0.04900566673066026,0.048913219845310045,0.04977851211298877,0.04923893721834114
32,ARB07433@H,49.84687867692735,22.220897723449543,68.46438758035805,40.23784182354377,33.03106418350608,31.229369773496657,26.424851346804864,51.64857308693678,10.810166460056536,45.642925053572036,75.07060041705927,35.433323396851975,12.611860870065957,44.441795446899086,34.8327585935155,64.26043395700273,56.45309151362857,8.40790724671064,46.24348985690851,58.254785923637996,0.05058194851219817,0.050836007714756194,0.05044538064073766,0.05106217442239143,0.049182547907147614,0.0488913307331357,0.0494048246798707,0.04903098205328838
33,ARB07425@H,44.595385200808835,24.10561362205883,54.84027099018383,27.721455665367653,23.50297328150736,27.118815324816183,22.900332940955888,45.800665881911776,8.436964767720589,43.99274486025736,61.46931473625001,23.50297328150736,9.03960510827206,35.55578009253677,22.297692600404417,65.6877971201103,54.84027099018383,6.629043746066178,31.939938049227948,71.11156018507354,0.051563639373399854,0.051403723676592385,0.04744720191291263,0.05008457493037143,0.04933046795385882,0.05099461219826961,0.04781502977502401,0.04872040962810048
34,ARE29973@H,46.26563689862947,25.567851970295234,70.00721372818933,34.090469293726976,27.394127111030606,35.307986054217224,18.262751407353736,50.52694556034534,12.17516760490249,48.09191203936484,80.35610619235645,25.567851970295234,7.305100562941495,46.26563689862947,28.611643871520855,77.92107267137595,64.5283883059832,7.91385894318662,42.61308661715872,76.7035559108857,0.051124968971672874,0.04963741467196563,0.046678265745453466,0.04892741942459691,0.048864665353848306,0.04975935890178589,0.04843470516140307,0.04781482152414921
35,ARB07608@H,36.177891266015415,21.70673475960925,69.34095825986289,40.398645247050545,33.76603184828105,23.51562932291002,23.51562932291002,44.01643437365209,16.28005106970694,48.23718835468722,80.19432563966751,36.177891266015415,7.838543107636673,54.266836899023126,30.751207576113103,93.4595524372065,51.85497748128876,9.044472816503854,44.01643437365209,53.060907190155945,0.049191111550425465,0.05086530671744188,0.05089459988353414,0.05091164101327769,0.04881940522448536,0.04917326991062254,0.048662377537270464,0.048517433729352105
36,ARA15421@H,49.871013311421386,22.231656536416764,69.09839193751156,40.2573239983763,33.047057013592486,31.244490267396532,26.43764561087399,51.67358005761734,10.214544895110405,45.06416865489884,76.30865892229538,34.849623759788436,12.617967223371677,43.86245749076821,34.24876817772312,64.89240286305433,55.879569132074565,8.41197814891445,46.8667354010948,58.88384704240116,0.050661996368631536,0.050659903298202504,0.05004649301178677,0.051034635319103364,0.04909835223629921,0.0487997129358843,0.04970484270929428,0.04913848205548008
37,ARB07599@H,36.177891266015415,21.70673475960925,69.34095825986289,40.398645247050545,33.76603184828105,23.51562932291002,23.51562932291002,44.01643437365209,16.28005106970694,48.23718835468722,80.19432563966751,36.177891266015415,7.838543107636673,54.266836899023126,30.751207576113103,93.4595524372065,51.85497748128876,9.044472816503854,44.01643437365209,53.060907190155945,0.049191111550425465,0.05086530671744188,0.05089459988353414,0.05091164101327769,0.04881940522448536,0.04917326991062254,0.048662377537270464,0.048517433729352105
38,ARB07438@H,37.45237396291252,22.350610268189726,73.6966068302472,38.056444510701425,33.82795067617904,24.16282191155646,24.16282191155646,44.70122053637945,12.685481503567141,54.36634930100204,77.92510066476959,32.61980958060122,8.45698766904476,54.97041984879095,32.61980958060122,93.02686435949238,47.1175027275351,9.665128764622585,41.076797249645985,53.762278753213124,0.04881886151959593,0.05083796875651388,0.049851871075247425,0.05020470078023711,0.04960832578679979,0.04960216228115374,0.048409055171468485,0.0485965068400722
39,ARB07617@H,36.177891266015415,21.70673475960925,69.34095825986289,40.398645247050545,33.76603184828105,23.51562932291002,23.51562932291002,44.01643437365209,16.28005106970694,48.23718835468722,80.19432563966751,36.177891266015415,7.838543107636673,54.266836899023126,30.751207576113103,93.4595524372065,51.85497748128876,9.044472816503854,44.01643437365209,53.060907190155945,0.049191111550425465,0.05086530671744188,0.05089459988353414,0.05091164101327769,0.04881940522448536,0.04917326991062254,0.048662377537270464,0.048517433729352105
40,ARB07414@H,49.87456509127491,21.632341485372248,68.5024147036788,40.26019109777613,33.049410602652046,31.246715478871025,26.439528482121638,51.67726021505593,10.215272368092451,45.66827646911919,76.31409357339655,35.45300410102674,12.618865866467145,44.46647971993185,34.85210572643307,63.094329332335725,57.085345586398994,8.41257724431143,46.87007321830654,58.28714233558634,0.050856266822825624,0.05076217714683413,0.050259935243342345,0.05095085814135294,0.049064724459112016,0.04870731345302029,0.04947621106448334,0.04902413907535566
41,ARB07406@H,46.98089065100476,24.405657481041434,69.5561238209681,35.38820334751008,27.456364666171613,35.38820334751008,17.69410167375504,48.81131496208287,13.42311161457279,48.20117352505683,80.53866968743674,26.236081792119542,7.32169724431243,46.370749213978726,28.676647540223687,78.70824537635863,64.06485088773377,7.9318386813384665,42.70990059182251,77.48796250230656,0.050802304891764107,0.04950353008600033,0.046873867007342813,0.04869675290125359,0.048661322305944006,0.04948732803329799,0.048171548233155094,0.04766190951520619
42,ARK08620@H,44.39792489711496,20.678485568519296,54.12897692935934,27.97677459270258,23.719439328595666,28.58496534471785,23.11124857658039,45.614306401145505,10.947433536274922,45.614306401145505,60.81907520152735,26.152202336656757,9.122861280229102,35.883254368901135,23.11124857658039,67.50917347369536,55.95354918540516,6.690098272168008,31.017728352778946,71.158317985787,0.05076133199056999,0.0510031543290496,0.04636398119362553,0.0494734372791167,0.048747744334027794,0.04991148071546016,0.047303166268158676,0.048244951874718105
43,ARE29961@H,46.99025569836589,24.410522440709556,69.56998895602223,34.784994478011114,27.46183774579825,35.395257539028854,17.697628769514427,49.43130794243685,13.425787342390256,48.21078182040137,80.55472405434153,26.241311623762773,7.323156732212866,46.37999263734815,28.68236386783373,78.72393487128832,64.07762140686258,7.933419793230605,42.71841427124172,77.50340874925284,0.05082351946526327,0.04947437422972451,0.04679443877246359,0.04867043942349914,0.048554567545601376,0.04943792810165624,0.04833080705223066,0.04765086439182228
44,ARE29990@H,49.87456509127491,21.632341485372248,68.5024147036788,40.26019109777613,33.049410602652046,31.246715478871025,26.439528482121638,51.67726021505593,10.215272368092451,45.66827646911919,76.31409357339655,35.45300410102674,12.618865866467145,44.46647971993185,34.85210572643307,63.094329332335725,57.085345586398994,8.41257724431143,46.87007321830654,58.28714233558634,0.050856266822825624,0.05076217714683413,0.050259935243342345,0.05095085814135294,0.049064724459112016,0.04870731345302029,0.04947621106448334,0.04902413907535566
45,ARE30017@H,49.84687867692735,22.220897723449543,68.46438758035805,40.23784182354377,33.03106418350608,31.229369773496657,26.424851346804864,51.64857308693678,10.810166460056536,45.642925053572036,75.07060041705927,35.433323396851975,12.611860870065957,44.441795446899086,34.8327585935155,64.26043395700273,56.45309151362857,8.40790724671064,46.24348985690851,58.254785923637996,0.05058194851219817,0.050836007714756194,0.05044538064073766,0.05106217442239143,0.049182547907147614,0.0488913307331357,0.0494048246798707,0.04903098205328838
46,ARE29999@H,49.87456509127491,21.632341485372248,68.5024147036788,40.26019109777613,33.049410602652046,31.246715478871025,26.439528482121638,51.67726021505593,10.215272368092451,45.66827646911919,76.31409357339655,35.45300410102674,12.618865866467145,44.46647971993185,34.85210572643307,63.094329332335725,57.085345586398994,8.41257724431143,46.87007321830654,58.28714233558634,0.050856266822825624,0.05076217714683413,0.050259935243342345,0.05095085814135294,0.049064724459112016,0.04870731345302029,0.04947621106448334,0.04902413907535566
47,ARE30008@H,49.916174562714666,21.650388966960577,68.55956506204183,40.293779466287745,33.07698314396755,31.2727840633875,26.46158651517404,51.720373643294714,10.825194483480288,45.70637670802789,75.77636138436202,35.48258191807428,12.629393564060337,44.50357732097452,34.8811822245476,64.34976720735506,56.53157119150818,8.419595709373558,46.30777640155457,58.335770272088226,0.050859826312954916,0.05065284707815878,0.050196998168642516,0.05085881847485799,0.049084921572477194,0.04862939468466366,0.049431285907352476,0.048886214274209853
48,ARE29985@H,46.26563689862947,25.567851970295234,70.00721372818933,34.090469293726976,27.394127111030606,35.307986054217224,18.262751407353736,50.52694556034534,12.17516760490249,48.09191203936484,80.35610619235645,25.567851970295234,7.305100562941495,46.26563689862947,28.611643871520855,77.92107267137595,64.5283883059832,7.91385894318662,42.61308661715872,76.7035559108857,0.051124968971672874,0.04963741467196563,0.046678265745453466,0.04892741942459691,0.048864665353848306,0.04975935890178589,0.04843470516140307,0.04781482152414921
49,ARE29979@H,46.97651609427404,24.40338498403846,69.54964720450961,35.38490822685577,27.45380810704327,35.38490822685577,17.692454113427885,48.80676996807692,13.421861741221154,48.80676996807692,80.53117044732693,26.233638857841346,7.3210154952115385,46.366431469673074,28.673977356245192,78.70091657352404,64.05888558310096,7.9311001198125,42.705923722067304,76.87066269972115,0.05081358179011786,0.049510679227379034,0.04686833375414917,0.04870990878859852,0.048672942500118006,0.04949726062377535,0.04817886313280157,0.047663805582099
50,ARE29967@H,46.9784356915946,24.40438217745174,69.55248920573746,34.77624460286873,27.454929949633208,35.38635415730502,17.69317707865251,49.41887390933977,13.422410197598458,48.19865480046719,79.92435163115445,26.23471084076062,7.321314653235522,46.9784356915946,28.675149058505795,78.70413252228187,64.06150321581082,7.9314242076718156,42.70766881054055,77.48391341340928,0.05081342893052397,0.04949664221070181,0.04682765190974097,0.04871241989752131,0.04855140124214891,0.049462849035320305,0.04836412052793548,0.04766193180981368
51,ARB07420@H,49.87456509127491,21.632341485372248,68.5024147036788,40.26019109777613,33.049410602652046,31.246715478871025,26.439528482121638,51.67726021505593,10.215272368092451,45.66827646911919,76.31409357339655,35.45300410102674,12.618865866467145,44.46647971993185,34.85210572643307,63.094329332335725,57.085345586398994,8.41257724431143,46.87007321830654,58.28714233558634,0.050856266822825624,0.05076217714683413,0.050259935243342345,0.05095085814135294,0.049064724459112016,0.04870731345302029,0.04947621106448334,0.04902413907535566
52,ARB07399@H,46.99025569836589,24.410522440709556,69.56998895602223,34.784994478011114,27.46183774579825,35.395257539028854,17.697628769514427,49.43130794243685,13.425787342390256,48.21078182040137,80.55472405434153,26.241311623762773,7.323156732212866,46.37999263734815,28.68236386783373,78.72393487128832,64.07762140686258,7.933419793230605,42.71841427124172,77.50340874925284,0.05082351946526327,0.04947437422972451,0.04679443877246359,0.04867043942349914,0.048554567545601376,0.04943792810165624,0.04833080705223066,0.04765086439182228
53,ARB07392@H,44.39792489711496,20.678485568519296,54.12897692935934,27.97677459270258,23.719439328595666,28.58496534471785,23.11124857658039,45.614306401145505,10.947433536274922,45.614306401145505,60.81907520152735,26.152202336656757,9.122861280229102,35.883254368901135,23.11124857658039,67.50917347369536,55.95354918540516,6.690098272168008,31.017728352778946,71.158317985787,0.05076133199056999,0.0510031543290496,0.04636398119362553,0.0494734372791167,0.048747744334027794,0.04991148071546016,0.047303166268158676,0.048244951874718105
54,ARA15429@H,44.71381426779609,22.356907133898044,53.17318453467643,28.399314467384002,23.565388600595234,27.795073734035405,23.565388600595234,45.92229573449328,10.272092466926129,45.318055001144685,60.42407333485958,24.773870067292428,8.459370266880342,35.65020326756715,22.96114786724664,65.86223993499694,55.59014746807081,6.646648066834554,31.42051813412698,70.69616580178571,0.05160905849273704,0.051628209879490135,0.04670368904932599,0.049557575969003065,0.04929260211968479,0.05038485876696409,0.04796946285215892,0.04861380952204024
55,APT69856@H,44.39792489711496,20.678485568519296,54.12897692935934,27.97677459270258,23.719439328595666,28.58496534471785,23.11124857658039,45.614306401145505,10.947433536274922,45.614306401145505,60.81907520152735,26.152202336656757,9.122861280229102,35.883254368901135,23.11124857658039,67.50917347369536,55.95354918540516,6.690098272168008,31.017728352778946,71.158317985787,0.05076133199056999,0.0510031543290496,0.04636398119362553,0.0494734372791167,0.048747744334027794,0.04991148071546016,0.047303166268158676,0.048244951874718105
